5'罗德里格斯外围的打门，打偏了                   4'前切尔西前锋斯图里奇开场仅4分钟受伤下场
7'前场争抢球，西布朗将球控制下来                   4'前切尔西前锋斯图里奇开场仅4分钟受伤下场
7'分球被防守球员碰出底线                   4'前切尔西前锋斯图里奇开场仅4分钟受伤下场
7'西布朗再次收获角球机会                   4'前切尔西前锋斯图里奇开场仅4分钟受伤下场
7'角球开出来                   4'前切尔西前锋斯图里奇开场仅4分钟受伤下场
7'库尔图瓦直接将球扑出来                   4'前切尔西前锋斯图里奇开场仅4分钟受伤下场
25'摩西分球阿扎尔                   25'切尔西第25分钟打破僵局，阿扎尔迂回盘带后同吉鲁踢墙配合，比利时人12码处劲射左下角入网
25'切尔西这边进球了！！！！！！！！！！                   25'切尔西第25分钟打破僵局，阿扎尔迂回盘带后同吉鲁踢墙配合，比利时人12码处劲射左下角入网
26'吉鲁拿球给插上的阿扎尔，阿扎尔带球突破，突然来一脚打门，将球打进                   25'切尔西第25分钟打破僵局，阿扎尔迂回盘带后同吉鲁踢墙配合，比利时人12码处劲射左下角入网
27'西布朗传球禁区，球被踢出来                   25'切尔西第25分钟打破僵局，阿扎尔迂回盘带后同吉鲁踢墙配合，比利时人12码处劲射左下角入网
27'阿扎尔的传球被拦截                   25'切尔西第25分钟打破僵局，阿扎尔迂回盘带后同吉鲁踢墙配合，比利时人12码处劲射左下角入网
28'西布朗前场赢得任意球机会                   25'切尔西第25分钟打破僵局，阿扎尔迂回盘带后同吉鲁踢墙配合，比利时人12码处劲射左下角入网
28'传球禁区                   25'切尔西第25分钟打破僵局，阿扎尔迂回盘带后同吉鲁踢墙配合，比利时人12码处劲射左下角入网
63'角球开出来，球被解围出来                   63'切尔西第63分钟扩大比分，摩西内切传球，法布雷加斯脚后跟妙传打中道森偏转，摩西10码处单刀推射入网，2-0
64'外围摩西拿球                   63'切尔西第63分钟扩大比分，摩西内切传球，法布雷加斯脚后跟妙传打中道森偏转，摩西10码处单刀推射入网，2-0
64'进球了！！！！！！                   63'切尔西第63分钟扩大比分，摩西内切传球，法布雷加斯脚后跟妙传打中道森偏转，摩西10码处单刀推射入网，2-0
65'摩西外围拿球，给小法，回给摩西，带球突破，突施冷箭，将球打进                   63'切尔西第63分钟扩大比分，摩西内切传球，法布雷加斯脚后跟妙传打中道森偏转，摩西10码处单刀推射入网，2-0
66'OK，继续看比赛                   63'切尔西第63分钟扩大比分，摩西内切传球，法布雷加斯脚后跟妙传打中道森偏转，摩西10码处单刀推射入网，2-0
66'西布朗获得角球机会                   63'切尔西第63分钟扩大比分，摩西内切传球，法布雷加斯脚后跟妙传打中道森偏转，摩西10码处单刀推射入网，2-0
71'又进球了切尔西！！！！！！！                   71'第71分钟，莫拉塔传球，阿扎尔切入禁区右侧边缘内劲射近角入网，3-0
71'阿扎尔                   71'第71分钟，莫拉塔传球，阿扎尔切入禁区右侧边缘内劲射近角入网，3-0
72'莫拉特和阿扎尔连续的传球，阿扎尔带球突破，突然的内切打门将球打进                   71'第71分钟，莫拉塔传球，阿扎尔切入禁区右侧边缘内劲射近角入网，3-0
73'OK,，继续看比赛                   71'第71分钟，莫拉塔传球，阿扎尔切入禁区右侧边缘内劲射近角入网，3-0
74'切尔西换人了，卡希尔登场，换下了克里斯滕森                   71'第71分钟，莫拉塔传球，阿扎尔切入禁区右侧边缘内劲射近角入网，3-0
