31'曼联左路连续起球都是没有传出来                   30'本场比赛因曼联大巴堵车而延迟30分钟进行
31'马夏尔底线拿球想造角球也是没有成功                   30'本场比赛因曼联大巴堵车而延迟30分钟进行
32'罗霍前场上抢犯规                   30'本场比赛因曼联大巴堵车而延迟30分钟进行
33'热刺前场带球推进到左路                   30'本场比赛因曼联大巴堵车而延迟30分钟进行
33'门萨及时回追将球破坏                   30'本场比赛因曼联大巴堵车而延迟30分钟进行
73'曼联任意球送禁区内                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
73'前点被热刺球员顶了出来                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
74'2-0！！！！                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
74'阿尔德韦雷尔德！！！                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
74'此时此刻值得来杯嘉士伯                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
75'拉梅拉前场任意球送禁区，阿尔德韦雷尔德禁区中路高高跃起甩头攻门将球顶进！！                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
75'曼联的看防又是出现了一些问题                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
75'这样的比分对曼联来说就有些困难了                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
76'3-0！！！！                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
76'曼联的防线崩盘了！！！                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
76'拉梅拉！！                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
76'此时此刻值得来杯嘉士伯                   73'热刺第28分钟险些破门，埃里克森右路斜传，甩开马塔防守的拉梅拉反越位成功，但无人防守的阿根廷人在小禁区边缘甩头攻门偏出
51'门前，曼联这边有些乱                   51'热刺6分钟连入3球打破僵局，第70分钟，哈里-凯恩斜传，埃里克森左路传中，甩开布林德防守的阿里小禁区前单刀推射入网
51'但还是将球先解围了                   51'热刺6分钟连入3球打破僵局，第70分钟，哈里-凯恩斜传，埃里克森左路传中，甩开布林德防守的阿里小禁区前单刀推射入网
51'热刺禁区外围世界波！！                   51'热刺6分钟连入3球打破僵局，第70分钟，哈里-凯恩斜传，埃里克森左路传中，甩开布林德防守的阿里小禁区前单刀推射入网
51'德赫亚飞身直接将球摘了下来                   51'热刺6分钟连入3球打破僵局，第70分钟，哈里-凯恩斜传，埃里克森左路传中，甩开布林德防守的阿里小禁区前单刀推射入网
53'曼联后场控球要稍微稳一下                   51'热刺6分钟连入3球打破僵局，第70分钟，哈里-凯恩斜传，埃里克森左路传中，甩开布林德防守的阿里小禁区前单刀推射入网
53'前场的传球直接给到了对方脚下                   51'热刺6分钟连入3球打破僵局，第70分钟，哈里-凯恩斜传，埃里克森左路传中，甩开布林德防守的阿里小禁区前单刀推射入网
74'2-0！！！！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
74'阿尔德韦雷尔德！！！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
74'此时此刻值得来杯嘉士伯                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
75'拉梅拉前场任意球送禁区，阿尔德韦雷尔德禁区中路高高跃起甩头攻门将球顶进！！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
75'曼联的看防又是出现了一些问题                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
75'这样的比分对曼联来说就有些困难了                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
76'3-0！！！！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
76'曼联的防线崩盘了！！！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
76'拉梅拉！！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
76'此时此刻值得来杯嘉士伯                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
77'热刺后场大范围转移给到前场左路，队友接球后横敲到禁区内，拉梅拉跟进推射近角得分！！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
77'曼联这边换人，马塔下，德佩上！                   74'第74分钟，拉梅拉左路任意球传入禁区，阿尔德韦雷尔德12码处抢在罗霍之前头球破门，2-0
79'拉梅拉任意球送禁区中路                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
79'凯恩头球攻门被德赫亚托出横梁                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
79'热刺的角球机会                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
79'角球送前点                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
79'维尔通亨头球攻门被德赫亚再次挡出！！                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
80'热刺这边也是6分钟打进3球                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
82'德佩这边情绪失控了！！！                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
82'这边直接拽着对方的球衣                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
82'火气很大啊                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
82'裁判也是在边上看着                   79'第79分钟，拉梅拉左路任意球传中，哈里-凯恩12码处头球攻门被德赫亚托出横梁
