6'吕伟为天津泰达在右路,赢得一个任意球.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
6'广州富力球员姜宁拼抢犯规,对手获得控球权.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
6'广州富力球员达维被主裁判出示了一张黄牌.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
7'广州富力球员姜宁小禁区右侧右脚射门,命中门柱左侧立柱.给他传球的是达维.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
7'进球啦！！！广州富力球员姜宁球门线跟前左脚射门,球从中路偏上飞进球门,球进了! 天津泰达 0-1 广州富力.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
8'天津泰达球员李本舰拼抢犯规,对手获得控球权.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
8'拉斐尔为广州富力赢得一个任意球.                   5'富力也加强了防守硬度，达维第5分钟在中场 犯规吃到黄牌
13'唐淼将球处理出底线,天津泰达获得角球.                   11'第11分钟，天津队反击中形成4打3，周海滨右路传中，但后点的 唐淼在巴雷身前将球顶出底线
14'瓦伦西亚为天津泰达在对方半场,赢得一个任意球.                   11'第11分钟，天津队反击中形成4打3，周海滨右路传中，但后点的 唐淼在巴雷身前将球顶出底线
14'广州富力球员唐淼危险动作,对手获得控球权.                   11'第11分钟，天津队反击中形成4打3，周海滨右路传中，但后点的 唐淼在巴雷身前将球顶出底线
15'天津泰达球员帕尔塔鲁大禁区外右脚射门,被防守球员封堵.给他传球的是王新欣.                   15'第15分钟，姜宁将争顶下来的皮球直接直传拉斐尔，后者杀入禁区右脚抽射，宗垒用腿 将球挡出底线
16'李文博将球处理出底线,天津泰达获得角球.                   15'第15分钟，姜宁将争顶下来的皮球直接直传拉斐尔，后者杀入禁区右脚抽射，宗垒用腿 将球挡出底线
16'天津泰达球员瓦伦西亚小禁区右侧尝试头球,可惜皮球高出球门.给他传球的是李本舰.                   15'第15分钟，姜宁将争顶下来的皮球直接直传拉斐尔，后者杀入禁区右脚抽射，宗垒用腿 将球挡出底线
17'射门!!!广州富力球员拉斐尔大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是姜宁.                   15'第15分钟，姜宁将争顶下来的皮球直接直传拉斐尔，后者杀入禁区右脚抽射，宗垒用腿 将球挡出底线
17'宗磊将球处理出底线,广州富力获得角球.                   15'第15分钟，姜宁将争顶下来的皮球直接直传拉斐尔，后者杀入禁区右脚抽射，宗垒用腿 将球挡出底线
