24'进球啦！！！多特蒙德球员Michy Batshuayi小禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是许尔勒. 多特蒙德 1-0 汉诺威96.                   24'多特第24分钟取得领先
25'汉诺威96球员菲尔克鲁格拼抢犯规,对手获得控球权.                   24'多特第24分钟取得领先
25'皮什切克为多特蒙德赢得一个任意球.                   24'多特第24分钟取得领先
25'多特蒙德皮什切克受伤倒地,比赛暂停                   24'多特第24分钟取得领先
26'暂停结束,球员们重新开始比赛.                   24'多特第24分钟取得领先
27'多特蒙德球员皮什切克大禁区右侧右脚射门,被防守球员封堵.                   24'多特第24分钟取得领先
89'多特蒙德球员菲利普大禁区中央右脚射门,命中门柱左侧立柱.给他传球的是Michy Batshuayi.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'汉诺威96球员Philipp Tschauner一脚直塞球给乔纳森,但是边裁举旗显示后者已经越位.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'射门!!!多特蒙德球员Michy Batshuayi大禁区中央右脚射门,被对方守门员横身扑出.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'Philipp Tschauner将球处理出底线,多特蒙德获得角球.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+1'克劳斯将球处理出底线,多特蒙德获得角球.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+1'奥斯特若莱克将球处理出底线,多特蒙德获得角球.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+2'福苏姆为汉诺威96在左路,赢得一个任意球.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+2'多特蒙德球员皮什切克拼抢犯规,对手获得控球权.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+3'多特蒙德球员帕帕斯塔索普洛斯被主裁判出示了一张黄牌.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+4'施维格勒为汉诺威96在对方半场,赢得一个任意球.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+4'多特蒙德球员默罕默德-达胡德拼抢犯规,对手获得控球权.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+5'汉诺威96球员安东大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是施维格勒.                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
90'+5'下半场结束,多特蒙德 1-0 汉诺威96                   89'第89分钟，巴舒亚伊背身卸球直传，菲利普右侧距门9米处小角度推射击中远门柱
