3'勒沃库森球员埃尔南德斯一脚直塞球给贝拉拉比,但是边裁举旗显示后者已经越位.                   3'开场3分钟，埃尔南德斯禁区左侧回传，后卫解围失误
4'进球啦！！！勒沃库森球员穆罕穆迪大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是恰尔汉奥卢. 勒沃库森 1-0 鲍里索夫.                   3'开场3分钟，埃尔南德斯禁区左侧回传，后卫解围失误
10'射门!!!勒沃库森球员坎普尔大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是恰尔汉奥卢.                   10'10分钟后，斯塔塞维奇右侧开出角球，米卢诺维奇在门前8米处顶出弹地球扳平，1比1
11'鲍里索夫球员Mikhail Gordeychuk拼抢犯规,对手获得控球权.                   10'10分钟后，斯塔塞维奇右侧开出角球，米卢诺维奇在门前8米处顶出弹地球扳平，1比1
11'穆罕穆迪为勒沃库森在右路,赢得一个任意球.                   10'10分钟后，斯塔塞维奇右侧开出角球，米卢诺维奇在门前8米处顶出弹地球扳平，1比1
12'鲍里索夫球员赫莱布拼抢犯规,对手获得控球权.                   10'10分钟后，斯塔塞维奇右侧开出角球，米卢诺维奇在门前8米处顶出弹地球扳平，1比1
12'文德尔为勒沃库森赢得一个任意球.                   10'10分钟后，斯塔塞维奇右侧开出角球，米卢诺维奇在门前8米处顶出弹地球扳平，1比1
12'K-帕帕多普洛斯将球处理出底线,鲍里索夫获得角球.                   10'10分钟后，斯塔塞维奇右侧开出角球，米卢诺维奇在门前8米处顶出弹地球扳平，1比1
13'进球啦！！！鲍里索夫球员Nemanja Milunovic大禁区中央头球,球从中路飞进球门,球进了!助攻的是斯塔西维奇. 勒沃库森 1-1 鲍里索夫.                   10'10分钟后，斯塔塞维奇右侧开出角球，米卢诺维奇在门前8米处顶出弹地球扳平，1比1
58'进球啦！！！勒沃库森球员埃尔南德斯大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是坎普尔. 勒沃库森 3-1 鲍里索夫.                   58'第58分钟，两名新援打出配合，坎普尔直塞禁区右侧，埃尔南德斯小角度推射从门将裆下入远角，3比1
60'鲍里索夫换人,Aleksandr Karnitski换下梅德-巴加                   58'第58分钟，两名新援打出配合，坎普尔直塞禁区右侧，埃尔南德斯小角度推射从门将裆下入远角，3比1
61'Nemanja Milunovic将球处理出底线,勒沃库森获得角球.                   58'第58分钟，两名新援打出配合，坎普尔直塞禁区右侧，埃尔南德斯小角度推射从门将裆下入远角，3比1
