1'上半场比赛开始了~                   1'巴萨第1分钟就开始掌控比赛
1'主场作战的巴萨开球                   1'巴萨第1分钟就开始掌控比赛
2'内马尔在中路寻求配合~                   1'巴萨第1分钟就开始掌控比赛
2'在后卫的干扰下苏亚雷斯没接到传球                   1'巴萨第1分钟就开始掌控比赛
2'塞维利亚中场长传~~直接给到了布拉沃                   1'巴萨第1分钟就开始掌控比赛
3'拉基蒂奇突然挑传对方后卫身后                   1'巴萨第1分钟就开始掌控比赛
3'力量给到了一点，出了底线                   1'巴萨第1分钟就开始掌控比赛
4'巴萨中场得球~                   1'巴萨第1分钟就开始掌控比赛
4'内马尔跟梅西的撞墙配合~梅西再给！被后卫挡了出去                   1'巴萨第1分钟就开始掌控比赛
4'巴萨重新控制住皮球                   1'巴萨第1分钟就开始掌控比赛
2'内马尔在中路寻求配合~                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
2'在后卫的干扰下苏亚雷斯没接到传球                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
2'塞维利亚中场长传~~直接给到了布拉沃                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
3'拉基蒂奇突然挑传对方后卫身后                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
3'力量给到了一点，出了底线                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
4'巴萨中场得球~                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
4'内马尔跟梅西的撞墙配合~梅西再给！被后卫挡了出去                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
4'巴萨重新控制住皮球                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
5'拉基蒂奇~连过两人之后禁区内射门！                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
5'还是被后卫挡了出去                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
5'内马尔拿球被撞倒~                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
5'巴萨的前场定位球                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
5'距离球门稍微有些远                   2'2分钟后，梅西禁区边缘被卡里科背后铲倒，但裁判未予判罚
30'梅西跟苏牙在中路的配合遇到了对方太多的后卫拦截                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
31'巴萨制造了一个边路的前场定位球                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
31'还是梅西来处理                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
31'传中被后卫顶到了第一点                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
32'塞维利亚的犯规开始增多了起来                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
33'巴卡断球之后转身斜传~                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
33'队友并没有跑...                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
33'巴内加后场玩火啊~                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
33'险些被断                   30'巴萨前30分钟控球率高达7成，但比赛节奏频频被塞维利亚球员的战术犯规所打断
