15'维罗纳球员扬科维奇大禁区外右脚射门,被防守球员封堵.给他传球的是奥巴迪.                   15'开场15分钟，麦孔传中，德斯特罗头球偏出右门柱
15'罗马球员德斯特罗球门线跟前尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是麦孔.                   15'开场15分钟，麦孔传中，德斯特罗头球偏出右门柱
16'射门!!!维罗纳球员Juanito Gómez大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是内内.                   15'开场15分钟，麦孔传中，德斯特罗头球偏出右门柱
16'塔赫特西迪斯为维罗纳赢得一个任意球.                   15'开场15分钟，麦孔传中，德斯特罗头球偏出右门柱
16'罗马球员托蒂拼抢犯规,对手获得控球权.                   15'开场15分钟，麦孔传中，德斯特罗头球偏出右门柱
18'维罗纳球员Artur Ionita拼抢犯规,对手获得控球权.                   15'开场15分钟，麦孔传中，德斯特罗头球偏出右门柱
18'凯塔为罗马在左路,赢得一个任意球.                   15'开场15分钟，麦孔传中，德斯特罗头球偏出右门柱
32'罗马球员托蒂小禁区右侧右脚射门,命中门柱右侧立柱.                   32'第32分钟，利亚伊奇禁区右侧低传，托蒂几乎在门线上铲射，球中门柱后被瑟伦森破坏
33'索伦森将球处理出底线,罗马获得角球.                   32'第32分钟，利亚伊奇禁区右侧低传，托蒂几乎在门线上铲射，球中门柱后被瑟伦森破坏
34'维罗纳球员内内大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是布里维奥.                   32'第32分钟，利亚伊奇禁区右侧低传，托蒂几乎在门线上铲射，球中门柱后被瑟伦森破坏
35'罗马球员凯塔一脚直塞球给德斯特罗,但是边裁举旗显示后者已经越位.                   32'第32分钟，利亚伊奇禁区右侧低传，托蒂几乎在门线上铲射，球中门柱后被瑟伦森破坏
38'射门!!!维罗纳球员Juanito Gómez大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是内内.                   38'第38分钟，内内头球摆渡，戈麦斯禁区右侧斜射被德桑克蒂斯封出
38'维罗纳球员内内拼抢犯规,对手获得控球权.                   38'第38分钟，内内头球摆渡，戈麦斯禁区右侧斜射被德桑克蒂斯封出
38'麦孔为罗马赢得一个任意球.                   38'第38分钟，内内头球摆渡，戈麦斯禁区右侧斜射被德桑克蒂斯封出
38'黄牌！维罗纳球员内内因为恶意犯规,被主裁判出示黄牌.                   38'第38分钟，内内头球摆渡，戈麦斯禁区右侧斜射被德桑克蒂斯封出
41'罗马球员皮亚尼奇大禁区外右脚射门,被防守球员封堵.给他传球的是纳因戈兰.                   38'第38分钟，内内头球摆渡，戈麦斯禁区右侧斜射被德桑克蒂斯封出
52'罗马球员纳因戈兰大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是皮亚尼奇.                   52'第52分钟，纳英戈兰推射偏出
52'维罗纳球员扬科维奇大禁区左侧右脚射门,被防守球员封堵.给他传球的是内内.                   52'第52分钟，纳英戈兰推射偏出
53'坎帕纳罗为维罗纳赢得一个任意球.                   52'第52分钟，纳英戈兰推射偏出
53'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   52'第52分钟，纳英戈兰推射偏出
55'维罗纳球员内内拼抢犯规,对手获得控球权.                   52'第52分钟，纳英戈兰推射偏出
55'纳因戈兰为罗马赢得一个任意球.                   52'第52分钟，纳英戈兰推射偏出
60'扬科维奇将球处理出底线,罗马获得角球.                   60'第60分钟，托蒂开出角球，无人盯防的扬加-姆比瓦顶高
61'罗马球员雅尼加-姆比瓦大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是皮亚尼奇.                   60'第60分钟，托蒂开出角球，无人盯防的扬加-姆比瓦顶高
62'莫拉斯将球处理出底线,罗马获得角球.                   60'第60分钟，托蒂开出角球，无人盯防的扬加-姆比瓦顶高
63'罗马球员麦孔球门右侧小角度尝试右脚射门,可惜皮球高出球门.给他传球的是托蒂.                   60'第60分钟，托蒂开出角球，无人盯防的扬加-姆比瓦顶高
75'进球啦！！！罗马球员弗洛伦齐大禁区外右脚射门,球从右下角飞进球门,球进了! 罗马 1-0 维罗纳.                   75'第75分钟，他在门前25米处低射直窜右下角，1比0
77'罗马球员德斯特罗大禁区右侧右脚射门,被防守球员封堵.给他传球的是纳因戈兰.                   75'第75分钟，他在门前25米处低射直窜右下角，1比0
78'罗马球员德斯特罗大禁区中央尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是热尔维尼奥.                   75'第75分钟，他在门前25米处低射直窜右下角，1比0
90'罗马球员弗洛伦齐大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是热尔维尼奥.                   87'第87分钟，门将德桑克蒂斯开大脚，德斯特罗接近中圈胸部停球凌空吊射破门，2比0
90'+1'维罗纳球员托尼拼抢犯规,对手获得控球权.                   87'第87分钟，门将德桑克蒂斯开大脚，德斯特罗接近中圈胸部停球凌空吊射破门，2比0
90'+1'雅尼加-姆比瓦为罗马赢得一个任意球.                   87'第87分钟，门将德桑克蒂斯开大脚，德斯特罗接近中圈胸部停球凌空吊射破门，2比0
90'+4'下半场结束,罗马 2-0 维罗纳                   87'第87分钟，门将德桑克蒂斯开大脚，德斯特罗接近中圈胸部停球凌空吊射破门，2比0
