4'伊涅斯塔往前传时被蒙托利沃断下                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
4'米兰犯规，巴萨前场任意球                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
5'哈维的任意球直接射门，可惜偏出                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
5'米兰前场进攻被巴萨抢断                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
6'巴萨左路进攻，伊涅斯塔带球                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
6'给到右路，皮克传给梅西                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
6'梅西靠个人能力突入米兰腹地，米兰解围                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
7'米兰进攻，传球被巴萨断下                   4'开场4分钟，蒙托利沃对内马尔犯规，哈维左侧距门26米处主罚任意球偏出近门柱
11'巴萨控制，来到右路                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
11'内马尔左路突破，又被阿巴特犯规了，巴萨前场任意球                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
12'没戏中路突破分给内马尔，内马尔左路直接打门，球高出横梁                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
12'皮克后场控球，把球给到中路                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
13'梅西中路突破，找到一个缝隙给到哈维                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
13'被米兰卡位破坏                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
14'巴萨右路阿尔维斯，回传梅西                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
14'梅西直塞禁区内的桑切斯，过不去了周围都是人                   11'第11分钟，内马尔接到梅西传球，禁区左侧距门12米处打高
29'巴萨打前场，米兰解围反击                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
29'卡卡前场被巴萨围堵                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
29'巴萨斜传找伊涅斯塔                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
30'禁区内阿巴特拉倒了内马尔，给了阿巴特黄牌，点球！                   29'第29分钟，伊涅斯塔挑传过顶，内马尔禁区左侧被阿巴特撞倒，塞尔维亚主裁判马吉齐吹罚点球
