8'多特蒙德这支掀起了青春风暴的球队不知道能够维持现有阵容多久呢                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
8'罗伊斯带球反击，速度非常快                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
8'格策在边路接应，斜传到禁区                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
8'罗伊斯                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
9'多特蒙德这么快就进球啦！                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
9'格策和罗伊斯的边路配合，格策把球斜传到小禁区里面，罗伊斯利用速度甩开后卫，推射破门！                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
10'这球阿贾克斯的门将被穿了小门                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
11'阿贾克斯还是利用长传发动进攻                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
11'给右路的传球，鲍尔森力量给到太大                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
11'另外一场比赛皇马已经1比0领先                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
11'进球的状态火热的本泽马                   8'第8分钟，格策右路直传，罗伊斯直插入小禁区右上角外低射破门
41'格策来处理？                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
41'传中到前点，被鲍尔森头球解围                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
41'莱万多夫斯基！                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
41'阿贾克斯的防守简直弱不禁风了                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
42'本来格策的传中被后卫解围出去，格策在禁区外凌空抽射被门将扑了一下，莱万多夫斯基机警的门前补射！没办法了，门将已经倒地了                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
43'3个进球全跟格策有关                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
43'这第三个算是间接助攻了吧                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
43'阿贾克斯的前场三叉戟太犀利了                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
43'三个人一人进一个                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
44'欧洲金童确实不是浪得虚名                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
44'哪怕是在含金量不太高的德甲中                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
44'但是格策在欧洲赛场上也能征服观众                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
44'毫无疑问多特蒙德将会继续在小组中领先                   41'第41分钟，格策任意球传中被解围，格策25码处抽射反弹球被维梅尔勉强扑出，莱万多夫斯基小禁区边缘补射入网
86'布拉什奇克夫斯基的速度想硬吃对方后卫                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
86'多特蒙德把球打回后场，被断了                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
86'漂亮！                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
87'阿贾克斯扳回一分                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
87'埃里克森前场抢断，挑给了边路插上的霍森，禁区内的右脚推射打在了后卫腿上，变成了一脚吊射！                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
88'这球划出一道弧线，带着强烈的下坠飞入了球门死角                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
88'阿贾克斯还有机会                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
88'卢科基边路左突右冲，连续的盘过了对方后卫                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
89'禁区线上的左脚攻门，打得位置稍微正了一些，被魏登费勒接住了                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
89'阿贾克斯在最后几分钟掀起了小高潮啊                   86'阿贾克斯第86分钟挽回颜面，埃里克森直传，霍埃森禁区左侧的射门打在苏博蒂奇腿上偏转吊过魏登费勒入网
