5'多特蒙德球员奥巴梅扬球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是施梅尔策.                   5'开场5分钟，施梅尔策左路传中，奥巴梅扬在门前5米处冲顶偏出左门柱
7'射门!!!泽尼特球员维斯特尔大禁区外左脚射门,被对方守门员横身扑出.给他传球的是沙托夫.                   5'开场5分钟，施梅尔策左路传中，奥巴梅扬在门前5米处冲顶偏出左门柱
7'泽尼特球员维斯特尔一脚直塞球给丹尼,但是边裁举旗显示后者已经越位.                   5'开场5分钟，施梅尔策左路传中，奥巴梅扬在门前5米处冲顶偏出左门柱
12'射门!!!多特蒙德球员莱万多夫斯基大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是沙欣.                   12'第12分钟，沙欣右路低传，莱万多夫斯基禁区边缘转身左脚低射被马拉费耶夫没收
13'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   12'第12分钟，沙欣右路低传，莱万多夫斯基禁区边缘转身左脚低射被马拉费耶夫没收
13'维斯特尔为泽尼特在对方半场,赢得一个任意球.                   12'第12分钟，沙欣右路低传，莱万多夫斯基禁区边缘转身左脚低射被马拉费耶夫没收
13'泽尼特阿纽科夫受伤倒地,比赛暂停                   12'第12分钟，沙欣右路低传，莱万多夫斯基禁区边缘转身左脚低射被马拉费耶夫没收
14'暂停结束,球员们重新开始比赛.                   12'第12分钟，沙欣右路低传，莱万多夫斯基禁区边缘转身左脚低射被马拉费耶夫没收
15'多特蒙德球员奥巴梅扬拼抢犯规,对手获得控球权.                   12'第12分钟，沙欣右路低传，莱万多夫斯基禁区边缘转身左脚低射被马拉费耶夫没收
15'克里西托为泽尼特赢得一个任意球.                   12'第12分钟，沙欣右路低传，莱万多夫斯基禁区边缘转身左脚低射被马拉费耶夫没收
18'克里西托将球处理出底线,多特蒙德获得角球.                   18'第18分钟，姆希塔良右侧开出角球，莱万多夫斯基争顶手触球，被黄牌警告
18'多特蒙德球员莱万多夫斯基手球犯规,对手获得球权.                   18'第18分钟，姆希塔良右侧开出角球，莱万多夫斯基争顶手触球，被黄牌警告
18'黄牌！多特蒙德球员莱万多夫斯基因为故意手球,被主裁判出示黄牌.                   18'第18分钟，姆希塔良右侧开出角球，莱万多夫斯基争顶手触球，被黄牌警告
34'多特蒙德球员沙欣大禁区外左脚射门,被防守球员封堵.                   33'第33分钟，沙欣右侧距门20米处左脚任意球打在人墙上
34'多特蒙德球员施梅尔策大禁区外右脚射门,被防守球员封堵.                   33'第33分钟，沙欣右侧距门20米处左脚任意球打在人墙上
38'沙欣为多特蒙德在对方半场,赢得一个任意球.                   38'多特第38分钟扳平比分，施梅尔策左路反越位弧线球传中，凯尔力压克里希托，在门前7米处冲顶弹地入左下角，1比1，这是他30场欧冠处子球，34.1岁的他成为多特第2年长的欧冠进球队员，仅次于佐尔克(35.3岁)，上一位欧冠进球的多特蒙德队长也是佐尔克(1996年12月)
38'泽尼特球员法伊祖林拼抢犯规,对手获得控球权.                   38'多特第38分钟扳平比分，施梅尔策左路反越位弧线球传中，凯尔力压克里希托，在门前7米处冲顶弹地入左下角，1比1，这是他30场欧冠处子球，34.1岁的他成为多特第2年长的欧冠进球队员，仅次于佐尔克(35.3岁)，上一位欧冠进球的多特蒙德队长也是佐尔克(1996年12月)
38'进球啦！！！多特蒙德球员凯尔大禁区中央头球,球从左上角飞进球门,球进了!助攻的是施梅尔策. 多特蒙德 1-1 泽尼特.                   38'多特第38分钟扳平比分，施梅尔策左路反越位弧线球传中，凯尔力压克里希托，在门前7米处冲顶弹地入左下角，1比1，这是他30场欧冠处子球，34.1岁的他成为多特第2年长的欧冠进球队员，仅次于佐尔克(35.3岁)，上一位欧冠进球的多特蒙德队长也是佐尔克(1996年12月)
41'多特蒙德球员施梅尔策拼抢犯规,对手获得控球权.                   38'多特第38分钟扳平比分，施梅尔策左路反越位弧线球传中，凯尔力压克里希托，在门前7米处冲顶弹地入左下角，1比1，这是他30场欧冠处子球，34.1岁的他成为多特第2年长的欧冠进球队员，仅次于佐尔克(35.3岁)，上一位欧冠进球的多特蒙德队长也是佐尔克(1996年12月)
41'阿纽科夫为泽尼特赢得一个任意球.                   38'多特第38分钟扳平比分，施梅尔策左路反越位弧线球传中，凯尔力压克里希托，在门前7米处冲顶弹地入左下角，1比1，这是他30场欧冠处子球，34.1岁的他成为多特第2年长的欧冠进球队员，仅次于佐尔克(35.3岁)，上一位欧冠进球的多特蒙德队长也是佐尔克(1996年12月)
43'多特蒙德莱万多夫斯基受伤倒地,比赛暂停                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
43'暂停结束,球员们重新开始比赛.                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
44'莱万多夫斯基为多特蒙德赢得一个任意球.                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
44'泽尼特球员胡波坎拼抢犯规,对手获得控球权.                   43'第43分钟，莱万多夫斯基左路遭马拉费耶夫出击铲截倒地，到场边接受治疗，好在没有大碍
