8'内马尔为巴塞罗那在左路,赢得一个任意球.                   8'开场8分钟，舍内放倒内马尔，被黄牌警告
8'阿贾克斯球员舍内拼抢犯规,对手获得控球权.                   8'开场8分钟，舍内放倒内马尔，被黄牌警告
8'黄牌！阿贾克斯球员舍内因为恶意犯规,被主裁判出示黄牌.                   8'开场8分钟，舍内放倒内马尔，被黄牌警告
9'巴塞罗那球员内马尔一脚直塞球给伊涅斯塔,但是边裁举旗显示后者已经越位.                   8'开场8分钟，舍内放倒内马尔，被黄牌警告
11'射门!!!阿贾克斯球员费舍尔大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是舍内.                   8'开场8分钟，舍内放倒内马尔，被黄牌警告
19'进球啦！！！阿贾克斯球员瑟雷诺大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是范里金. 阿贾克斯 1-0 巴塞罗那.                   19'阿贾克斯第19分钟取得领先，范赖恩右路传中被后卫漏过，塞雷罗在门前9米处推进右下角，1比0，他是欧冠第6位也是8年来首位破门的南非球员
21'阿贾克斯球员范里金大禁区外右脚射门,被防守球员封堵.给他传球的是瑟雷诺.                   19'阿贾克斯第19分钟取得领先，范赖恩右路传中被后卫漏过，塞雷罗在门前9米处推进右下角，1比0，他是欧冠第6位也是8年来首位破门的南非球员
21'马斯切拉诺将球处理出底线,阿贾克斯获得角球.                   19'阿贾克斯第19分钟取得领先，范赖恩右路传中被后卫漏过，塞雷罗在门前9米处推进右下角，1比0，他是欧冠第6位也是8年来首位破门的南非球员
22'阿贾克斯球员费舍尔大禁区外尝试右脚射门,可惜皮球高出球门.                   19'阿贾克斯第19分钟取得领先，范赖恩右路传中被后卫漏过，塞雷罗在门前9米处推进右下角，1比0，他是欧冠第6位也是8年来首位破门的南非球员
25'巴塞罗那球员内马尔大禁区中央右脚射门,被防守球员封堵.给他传球的是佩德罗.                   25'第25分钟，佩德罗直传，内马尔突破夹防，禁区边缘推射被费尔特曼挡出底线
25'Joël Veltman将球处理出底线,巴塞罗那获得角球.                   25'第25分钟，佩德罗直传，内马尔突破夹防，禁区边缘推射被费尔特曼挡出底线
33'射门!!!阿贾克斯球员舍内左侧远离球门处小角度右脚射门,被对方守门员横身扑出.                   33'第33分钟，舍内左侧小角度射门被平托得到
35'阿贾克斯换人,C-鲍尔森上,博伊莱森因伤下场.                   33'第33分钟，舍内左侧小角度射门被平托得到
