13'在交给布林德，中路给鲁尼，扎哈拼抢下来                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
13'埃雷拉马上冲过来，反抢回来                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
13'禁区前沿右侧自己往前趟，，丹恩解围出去                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
13'拜利右路拿球卡巴耶推人犯规                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
13'定位球给到前场，伊布护球给到鲁尼                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
14'中路在交给博格巴，中路带了两步，起脚爆射                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
14'这球势大力沉，稍稍高出横梁                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
14'亨尼西大脚开出                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
14'扎哈中路得球，在给到右侧本特克                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
14'碾压后卫，强行挤过。罗霍身体吃亏啊                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
15'本特克人球分过稍稍有点大，被出击的德赫亚没收                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
15'卡里克后场组织进攻                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
15'斜传给到博格巴，左侧挑给鲁尼                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
15'鲁尼回敲，卡里克在给到布林德，斜吊禁区                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
15'丹恩把球解围出去                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
15'麦克阿瑟左侧交给沃德                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
15'中路卡巴耶拿球，再回敲亨尼西                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
16'大脚长传出来，罗霍一挡，凯利把球得到                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
16'曼联中圈把球断下，博格巴禁区左侧传球被挡出边线                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
16'布林德横敲，博格巴带入禁区，直塞给到底线附近                   13'13分钟，鲁尼分球给博格巴，后者中路一脚爆射高出
36'外围卡巴耶再拿球，搓入禁区，琼斯头球一蹭，回给了德赫亚                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
36'德赫亚交给罗霍，左侧往前推进                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
36'长传到前场，伊布得球，转身比较远的位置，强行起脚                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
36'爆射击中后卫弹出底线                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
37'右侧角球开出                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
37'博格巴中路顶了一下，但是球没有顶正。被亨尼西出击没收                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
37'德莱尼后场放一个长传                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
38'禁区内找到扎哈，罗霍死死卡住位置，协助德赫亚把球得到                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
38'卡里克右侧给到琼斯，再交拜利                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
38'右路挑传到前场，马塔卸下来，交给中路博格巴                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
38'搓入禁区，给的很妙，鲁尼跟上不停球，直接射                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
38'亨尼西反应神速，侧扑挡出底线                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
38'右侧战术角球，马塔在给到禁区                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
39'传的有点大，左侧布林德在救回来                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
39'分给身旁博格巴，传球被断                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
39'反击过来，扎哈右路衔枚疾走                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
39'过掉卡里克，前场继续狂奔，内切被罗霍铲翻在地                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
39'罗霍吃到黄牌                   36'36分钟，曼联迎来良机，博格巴在禁区前假装射门后挑传，鲁尼禁区右翼转身左脚打门被亨尼神勇扑出
38'禁区内找到扎哈，罗霍死死卡住位置，协助德赫亚把球得到                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
38'卡里克右侧给到琼斯，再交拜利                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
38'右路挑传到前场，马塔卸下来，交给中路博格巴                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
38'搓入禁区，给的很妙，鲁尼跟上不停球，直接射                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
38'亨尼西反应神速，侧扑挡出底线                   38'水晶宫直到比赛的第38分钟才迎来首次攻门，卡巴耶主罚任意球送入禁区，禁区内本特克头球摆渡，麦克阿瑟后点垫射高出
