1'马基尼奥为罗马赢得一个任意球.                   1'赛前为1周前去世的罗马名人堂成员、前意大利国脚阿马代伊默哀1分钟
1'亚特兰大球员斯卡罗尼拼抢犯规,对手获得控球权.                   1'赛前为1周前去世的罗马名人堂成员、前意大利国脚阿马代伊默哀1分钟
26'罗马球员斯特罗特曼大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是弗洛伦齐.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
26'卡尔莫纳为亚特兰大赢得一个任意球.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
26'罗马球员热尔维尼奥危险动作,对手获得控球权.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
27'卡尔莫纳为亚特兰大在右路,赢得一个任意球.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
27'罗马球员斯特罗特曼拼抢犯规,对手获得控球权.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
28'亚特兰大球员布里恩扎大禁区中央左脚射门,被防守球员封堵.给他传球的是卡佐拉.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
28'卡尔莫纳为亚特兰大在对方半场,赢得一个任意球.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
28'罗马球员马基尼奥拼抢犯规,对手获得控球权.                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
29'亚特兰大德尔格罗索受伤倒地,比赛暂停                   26'第26分钟，斯特鲁特曼禁区前沿左脚施射稍偏出左门角
51'进球啦！！！亚特兰大球员布里维奥左脚射门,球从右下角飞进球门,球进了! 亚特兰大 1-0 罗马.                   51'下半时开始6分钟，贝纳蒂亚对丹尼斯犯规，布里维奥在门前25米处主罚任意球低射入右下角，1比0
52'莫拉雷斯为亚特兰大在对方半场,赢得一个任意球.                   51'下半时开始6分钟，贝纳蒂亚对丹尼斯犯规，布里维奥在门前25米处主罚任意球低射入右下角，1比0
52'罗马球员斯特罗特曼拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，贝纳蒂亚对丹尼斯犯规，布里维奥在门前25米处主罚任意球低射入右下角，1比0
53'亚特兰大球员丹尼斯拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，贝纳蒂亚对丹尼斯犯规，布里维奥在门前25米处主罚任意球低射入右下角，1比0
53'布拉德利为罗马赢得一个任意球.                   51'下半时开始6分钟，贝纳蒂亚对丹尼斯犯规，布里维奥在门前25米处主罚任意球低射入右下角，1比0
66'射门!!!亚特兰大球员博纳文图拉大禁区外左脚射门,被对方守门员横身扑出.给他传球的是丹尼斯.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
66'射门!!!罗马球员斯特罗特曼大禁区外左脚射门,被对方守门员横身扑出.给他传球的是皮亚尼奇.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
66'孔西利将球处理出底线,罗马获得角球.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
67'西加里尼将球处理出底线,罗马获得角球.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
68'莫拉雷斯为亚特兰大赢得一个任意球.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
68'罗马球员布拉德利拼抢犯规,对手获得控球权.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
68'亚特兰大球员丹尼斯一脚直塞球给博纳文图拉,但是边裁举旗显示后者已经越位.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
69'卡尼尼将球处理出底线,罗马获得角球.                   66'第66分钟，丹尼斯左路传中，博纳文图拉禁区前沿左脚推射被德桑克蒂斯得到，随即斯特鲁特曼在门前25米处左脚斜射被孔西利托出底线
