1'比赛开始了                   1'霍芬海姆第1分钟拼抢积极，拜仁进攻不太流畅
2'比达尔中圈发球                   1'霍芬海姆第1分钟拼抢积极，拜仁进攻不太流畅
3'贝尔纳特得球低平球向前传                   1'霍芬海姆第1分钟拼抢积极，拜仁进攻不太流畅
3'被霍芬海姆球员断下                   1'霍芬海姆第1分钟拼抢积极，拜仁进攻不太流畅
3'拜仁继续进攻， 贝尔纳特一脚大范围转移球                   1'霍芬海姆第1分钟拼抢积极，拜仁进攻不太流畅
3'找到中圈右侧的拉菲尼亚                   1'霍芬海姆第1分钟拼抢积极，拜仁进攻不太流畅
4'霍芬海姆球员的拼抢球犯规                   1'霍芬海姆第1分钟拼抢积极，拜仁进攻不太流畅
18'进球了~~~                   16'霍芬海姆第16分钟取得领先
18'阿米里分到禁区外弧顶处的德米尔拜，德米尔拜左脚直接抽射得手！霍芬海姆取得领先                   16'霍芬海姆第16分钟取得领先
18'拜仁落后了                   16'霍芬海姆第16分钟取得领先
19'诺伊尔开出球                   16'霍芬海姆第16分钟取得领先
19'被霍芬海姆球员破坏出了边线                   16'霍芬海姆第16分钟取得领先
34' 比达尔球分到左边路                   34'拜仁第34分钟追平比分
34' 给到贝尔纳特                   34'拜仁第34分钟追平比分
34' 贝尔纳特带球杀入禁区                   34'拜仁第34分钟追平比分
34'被卡德扎贝克破坏出了底线                   34'拜仁第34分钟追平比分
34'但是裁判给的是门球                   34'拜仁第34分钟追平比分
87'科斯塔左路传中，祖贝尔头球回顶，顶出底线                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
87'科斯塔角球发出来，也是被解围                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
87'胡梅尔斯禁区内打门击中了立柱，oooooo                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
88'阿隆索挑传禁区，穆勒插上得球横敲，胡梅尔斯射门击中立柱                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
88'阿拉巴推传给胡梅尔斯                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
89'科曼左路突破赢得角球                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
89'拜仁第七个角球了                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
89'阿隆索角球给到禁区，胡梅尔斯头球顶偏                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
90'科曼右路突破，霍芬海姆球员一直侵犯科曼                   87'拜仁第87分钟险些上演绝杀，阿隆索主罚任意球直传，穆勒禁区右侧急停横传，胡梅尔斯在门前12米处推射击中左门柱
48' 拉菲尼亚一脚吊长传吊向禁区                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
48'皮球出了底线                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
48'上半场比赛结束                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
49'上半场由霍芬海姆的德米尔拜先攻入一球                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
47'博阿滕一脚分球，给到前场左路的科斯塔                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
47'科斯塔传中了，这球被聚勒一脚解围出了边线                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
48'罗本右侧边线球发出来                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
48'给到中路的博阿滕                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
48'贝尔纳特左路传中，球被踢出右侧边线                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
49'莱万右路被史蒂芬-祖伯拉倒                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
50'拜仁右路任意球传到禁区外，科斯塔凌空抽射，球打在越位位置莱万身上                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
50'博阿滕一个低平球向前给                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
50'罗本带球推进到了前场，分到禁区外右侧                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
50'莱万多夫斯基这球没停好啊                   47'补时第2分钟，拜仁左路传中，科曼后点头球回点，穆勒在门前7米处左脚半凌空打中近门柱弹出
