3'阿什利-扬后场右侧防守犯规！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
3'撞倒了马科斯-阿隆索！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
3'切尔西前场左侧边线附近定位球！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
4'开球挑传到禁区内！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
4'伊瓜因争顶犯规！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'卢卡库左路带球反击！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'皮球被解围出底线！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'曼联的左侧角球！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'角球开到禁区内！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'被顶出来解围！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'外围大卫-路易斯把球破坏！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'皮球被阿什利-扬碰出边线！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'中场拉什福德把球得到！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
5'拉什福德给前场右路卢卡库！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
6'回给跟进的阿什利-扬！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
6'横做给禁区右侧！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
6'皮球被若日尼奥解围出去！                   3'开场3分钟，阿扎尔传中，坎特的射门被封堵
11'斜传球给左侧博格巴！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
11'博格巴带球被阿兹皮利奎塔犯规！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
12'马蒂奇左路带球过来！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
12'低平球给身边跟进的博格巴！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
12'再给中路的卢卡库！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
12'往禁区内吊球！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
12'卢克-肖把球卸下！门前左侧横向分球！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
12'皮球漏过了门将凯帕！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
13'禁区内右侧马塔跟进一脚推射！！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
13'GOOOOOOOOOOOOOAL！！！1-0！！！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
13'马塔的破门！曼联1-0领先切尔西！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
14'继续看比赛！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
14'曼联开定位球给前场右侧卢卡库！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
14'吕迪格把球解围出来！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
14'外围若日尼奥把球带走！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
14'分给右侧威廉！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
14'长传球给前场左侧找马科斯-阿隆索！                   11'曼联第11分钟取得领先，卢卡库直传，卢克-肖小禁区左侧面对凯帕回传，无人防守的马塔小禁区前低射入网
