1'比赛开始了，利物浦开球                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
1'斯图里奇回敲给到后场，克拉万                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
1'在给到右侧的戈麦斯，回敲中路克拉万                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
1'分中路的同伴亨德森来组织                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
1'长传向前放一脚                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
1'球是给的比较大，直接出了右侧底线                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
2'库尔图瓦交给坎特                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
2'在回敲库尔图瓦，大脚走你                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
2'中圈附近的争抢，左侧阿隆索顶出边线                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
2'利物浦界外球，回敲后场                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
2'中路给到马蒂普再分克拉万                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
2'在回传马蒂普，长传向前                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
3'前场找到萨拉赫，杀到禁区前沿                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
3'右侧外围突施冷箭，球是被防守球员挡出                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
3'中圈附近库蒂尼奥拿球，回敲身后马蒂普                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
3'长传转移给到右侧前场                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
3'还是给萨拉赫，回敲一下                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
3'左侧转给库蒂尼奥，身前直塞                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
4'阿扎尔把球截胡，自己向前压上                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
4'斜传转到了右侧，右路底线附近拼抢出界                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
4'切尔西边线球，交给萨帕科斯塔，遭遇双人围堵，制造一个角球                   1'利物浦第1分钟积极展开攻势，但萨拉赫和米尔纳的外围射门均缺乏威胁偏出
23'中路被顶出来                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
23'外围右侧萨帕科斯塔拿球，分到中路                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
23'斯图里奇把球拦截                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
23'杀到中线附近，被坎特放倒在地                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
23'利物浦定位球罚出                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
23'中路给到马蒂普，转移左侧给莫雷诺                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
23'回敲克拉万，在给到右路这边                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
23'长传向前中路坎特把球拦截                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
24'右侧分边萨帕科斯塔，向前盘带                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
24'在对方紧逼下，自己带出边线                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
24'利物浦界外球给出，中路斜传被阿扎尔拦截                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
24'横向盘带到中路，再摆脱，压到前场                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
25'向前一记直塞，德林克沃特禁区中路插上                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
25'面对出来的米尼奥莱，把球一拨                   23'切尔西第23分钟错过机会，阿扎尔直传，德林沃特10码处试图晃过米尼奥莱，但利物浦门将关键时刻伸腿挡下皮球
