1'上半场比赛开始了                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
1'上半场由切尔西率先中圈开球                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
1'科斯塔拉到右路拿球往底线压被德拉戈维奇卡住身位                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
1'科斯塔背后推人犯规                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
2'基辅迪纳摩左路的进攻，安图内斯长传有点大                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
2'卡希尔回传给贝戈维奇，后者长传上来                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
2'阿斯皮利奎塔右路控球交给特里，马蒂奇接应转身，法布雷加斯过渡到左路                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
3'巴巴的传球，科斯塔左路往底线突，球被维达铲出底线                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
3'威廉的角球传到禁区，大家都漏了，拉米雷斯的远射打得不够扎实                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
4'切尔西前场逼抢很凶，基辅迪纳摩的门将肖夫科夫斯基将球开出边线                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
4'拉米雷斯交给了法布雷加斯                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
4'法布雷加斯转移到左路空档奥斯卡                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
4'奥斯卡回拔给法布雷加斯                   1'切尔西第1分钟积极施压，迭戈-科斯塔和奥斯卡连续传球，拉米雷斯远射被没收
31'马蒂奇左路带球被亚尔莫连科绊倒                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
31'切尔西左路的任意球机会                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
31'威廉传中太低了                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
31'外围还是威廉拿球传后点                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
32'阿斯皮利奎塔右肋部传中，奥斯卡身体比较单薄被德拉戈维奇顶出，科斯塔凌空打一脚高了                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
33'维达右路拿球回传给卡切里迪                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
33'维达右路助攻上来交给亚尔莫连科                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
33'亚尔莫连科左脚打远射，没有打正部位                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
34'威廉右路来了传中                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
34'乌龙球！！！                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
34'威廉右路下底低传门前，德拉戈维奇鱼跃头球误顶进自家大门！                   31'第31分钟，威廉斜传，阿斯皮利奎塔禁区右侧传中，奥斯卡近距离错过头球攻门机会被哈切里迪抢先解围，迭戈-科斯塔12码处射门高出
49'看看慢镜，科斯塔带球进了禁区后有点没劲了，身体接触还是比较小，不吹是合理                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
49'上半场比赛结束了！                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
49'基辅迪纳摩断球，冈萨雷斯直传打对方身后                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
49'克拉维茨有单刀的机会，祖马禁区内背后铲球，顺带铲倒了克拉维茨                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
49'裁判没有吹                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
49'慢镜来看祖马大长腿还是先撩到球了                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
50'切尔西的后防线还是漏洞不少                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
50'基辅迪纳摩右路的进攻，亚尔莫连科下底一扣过了巴巴传中打在巴巴脚出底线                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
50'亚尔莫连科传后点，特里争到第一点                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
51'回复：用户3834610162  蓝军要加油啊！英超现在欧冠只有靠双蓝了！（曼联还不错呀）                   49'第49分钟，克拉维茨接队友直传获得单刀机会，但他突入禁区左侧被祖马及时回追做出漂亮铲断
