4'奎利亚尔将球处理出底线,利物浦获得角球.                   4'第4分钟，亨德森传球，苏亚雷斯突破至禁区弧顶的射门偏出
4'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是亨德森.                   4'第4分钟，亨德森传球，苏亚雷斯突破至禁区弧顶的射门偏出
5'利物浦球员何塞-恩里克拼抢犯规,对手获得控球权.                   4'第4分钟，亨德森传球，苏亚雷斯突破至禁区弧顶的射门偏出
5'约翰逊为桑德兰在右路,赢得一个任意球.                   4'第4分钟，亨德森传球，苏亚雷斯突破至禁区弧顶的射门偏出
10'桑德兰球员约翰逊大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿尔蒂多尔.                   10'第10分钟，阿尔蒂多尔传球，亚当-约翰逊禁区右侧的劲射偏出近角
12'桑德兰球员贾凯里尼大禁区外左脚射门,被防守球员封堵.给他传球的是寄诚庸.                   10'第10分钟，阿尔蒂多尔传球，亚当-约翰逊禁区右侧的劲射偏出近角
12'桑德兰球员加德纳大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   10'第10分钟，阿尔蒂多尔传球，亚当-约翰逊禁区右侧的劲射偏出近角
13'桑德兰球员加德纳一脚直塞球给阿尔蒂多尔,但是边裁举旗显示后者已经越位.                   10'第10分钟，阿尔蒂多尔传球，亚当-约翰逊禁区右侧的劲射偏出近角
13'桑德兰球员阿尔蒂多尔大禁区右侧右脚射门,被防守球员封堵.给他传球的是S-拉尔森.                   10'第10分钟，阿尔蒂多尔传球，亚当-约翰逊禁区右侧的劲射偏出近角
24'桑德兰球员S-拉尔森大禁区外右脚射门,命中门柱横梁.                   24'第24分钟，塞巴斯蒂安-拉尔森25码处任意球直接射门打中横梁
24'桑德兰球员阿尔蒂多尔大禁区外左脚射门,被防守球员封堵.                   24'第24分钟，塞巴斯蒂安-拉尔森25码处任意球直接射门打中横梁
25'利物浦球员斯科特尔拼抢犯规,对手获得控球权.                   24'第24分钟，塞巴斯蒂安-拉尔森25码处任意球直接射门打中横梁
25'阿尔蒂多尔为桑德兰赢得一个任意球.                   24'第24分钟，塞巴斯蒂安-拉尔森25码处任意球直接射门打中横梁
26'利物浦球员摩西大禁区中央尝试右脚射门,可惜皮球高出球门.                   24'第24分钟，塞巴斯蒂安-拉尔森25码处任意球直接射门打中横梁
27'加德纳将球处理出底线,利物浦获得角球.                   24'第24分钟，塞巴斯蒂安-拉尔森25码处任意球直接射门打中横梁
28'进球啦！！！利物浦球员斯图里奇球门线跟前,球从右下角飞进球门,球进了!助攻的是杰拉德. 桑德兰 0-1 利物浦.                   28'利物浦第28分钟取得领先，杰拉德开出角球，无人防守的斯图里奇疑似用右手手臂将皮球挡入大门
29'斯科特尔将球处理出底线,桑德兰获得角球.                   28'利物浦第28分钟取得领先，杰拉德开出角球，无人防守的斯图里奇疑似用右手手臂将皮球挡入大门
30'桑德兰球员奥谢球门右侧小角度尝试头球,可惜皮球高出右上角球门.给他传球的是约翰逊.                   28'利物浦第28分钟取得领先，杰拉德开出角球，无人防守的斯图里奇疑似用右手手臂将皮球挡入大门
31'卢卡斯将球处理出底线,桑德兰获得角球.                   28'利物浦第28分钟取得领先，杰拉德开出角球，无人防守的斯图里奇疑似用右手手臂将皮球挡入大门
30'桑德兰球员奥谢球门右侧小角度尝试头球,可惜皮球高出右上角球门.给他传球的是约翰逊.                   30'第30分钟，亚当-约翰逊开出角球，奥谢小角度头球攻门偏出
31'卢卡斯将球处理出底线,桑德兰获得角球.                   30'第30分钟，亚当-约翰逊开出角球，奥谢小角度头球攻门偏出
32'加德纳将球处理出底线,利物浦获得角球.                   30'第30分钟，亚当-约翰逊开出角球，奥谢小角度头球攻门偏出
