5'外围莱万拿球，内切突然的打门                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
5'稍稍打偏了                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
6'汉诺威前场的传球被科曼拦截                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
7'比达尔拿球传球禁区                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
7'球被解围出来了                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
7'拉菲尼亚拿球，继续传球禁区，球被挡出了底线                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
8'拜仁角球机会                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
8'角球开出来                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
8'前点，球被大脚解围出来                   5'开场仅5分钟，拉菲尼亚精准直传，莱万禁区边缘横趟抽射高出
17'博阿滕中圈附近拿球                   17'拜仁第17分钟取得领先
17'穆勒拿球传球禁区                   17'拜仁第17分钟取得领先
18'进球了！！！！！！                   17'拜仁第17分钟取得领先
18'莱万的进球                   17'拜仁第17分钟取得领先
19'穆雷往禁区里传球，比达尔头球一顶，刚好来到了莱万的脚下，莱万直接选择打门                   17'拜仁第17分钟取得领先
19'球最终入网                   17'拜仁第17分钟取得领先
19'OK，我们继续看比赛                   17'拜仁第17分钟取得领先
20'巴卡洛茨传球禁区，球直接出了底线                   17'拜仁第17分钟取得领先
24'穆勒前场带球                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
25'进球了！！！！！！！！！                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
26'还是莱万的进球                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
26'穆勒送出直塞球，准确找到莱万，莱万推射入网                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
26'不过裁判突然哨响                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
26'边裁举旗，这球越位了。。。。。。。。                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
26'不算呀，可惜                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
27'这边汉诺威获得了点球呀                   24'拜仁第24分钟进球无效，穆勒右路突入禁区传中，莱万射门被扑出后补射入网，但主裁判根据录像助理裁判的意见，判定莱万越位，进球无效
35'汉诺威这边的打门                   35'汉诺威第35分钟追平比分
35'进球了呀                   35'汉诺威第35分钟追平比分
35'哈挪威扳平了比分                   35'汉诺威第35分钟追平比分
36'本斯霍普的头球攻门将球打进                   35'汉诺威第35分钟追平比分
36'OK，我们继续看比赛                   35'汉诺威第35分钟追平比分
37'马丁内斯控制球                   35'汉诺威第35分钟追平比分
37'直接直塞球找莱万                   35'汉诺威第35分钟追平比分
37'边裁举旗                   35'汉诺威第35分钟追平比分
37'越位了                   35'汉诺威第35分钟追平比分
54'科曼快速带球过半场，传球禁区，球出了底线                   54'第54分钟，比达尔传球，J罗在门前22米处左脚射门蹭横梁而出
55'门将大脚将球开出来                   54'第54分钟，比达尔传球，J罗在门前22米处左脚射门蹭横梁而出
56'福库拉哥带球突破，躺球过人，球被门将没收了                   54'第54分钟，比达尔传球，J罗在门前22米处左脚射门蹭横梁而出
57'胡梅尔斯送出长传球                   54'第54分钟，比达尔传球，J罗在门前22米处左脚射门蹭横梁而出
57'前场争抢球，球出了边线                   54'第54分钟，比达尔传球，J罗在门前22米处左脚射门蹭横梁而出
67'穆勒拿球继续传球禁区                   67'拜仁第67分钟再度超出
68'进球了！！！！！！！！！！                   67'拜仁第67分钟再度超出
68'拜仁反超了比分                   67'拜仁第67分钟再度超出
69'穆勒传球禁区，插上的科曼直接来一脚打门，将球打进                   67'拜仁第67分钟再度超出
70'OK，我们继续来看比赛                   67'拜仁第67分钟再度超出
70'还是拜仁的进攻                   67'拜仁第67分钟再度超出
87'科曼突破禁区造成了犯规                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
87'点球呀                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
87'莱万走上点球点                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
87'推射直接将球打进！！！！！！！！！！                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
88'拜仁手握两球优势                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
89'OK，我们继续看比赛                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
89'汉诺威的进攻                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
90'传球禁区，直接出了底线呀                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
90'拜仁继续换人                   87'拜仁第87分钟锁定胜局，基米希分球，科曼右路突破哈尼克切入禁区，被对方铲倒在地，点球
