59'界外球掷到场内，杨立瑜转移球给米克尔，再右路与阿奇姆彭做撞墙式的配合                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
59'阿奇姆彭倒三角的传球，惠家康凌空打门，球擦到了杜威的脸上出了底线                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
59'天津亿利队获得角球机会                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
59'买提江来主罚角球，开到禁区内，前点被顶出来                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
59'买提江左侧再传球，禁区内摔倒了                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
59'点球！！                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
60'贵州智诚队员很是激动呀                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
60'曹阳还倒在禁区内                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
61'迪亚涅站在球前                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
61'助跑！！打门！！骗过门将，罚进！！                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
62'这球苏渤洋判断错了方向呀！                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
62'天津亿利队凭借点球打破僵局                   59'第59分钟，曹阳禁区内制造点球，迪亚涅操刀主罚一蹴而就
85'贵州智诚队后场球，杜威转移球到右侧，直接斜长传找耶拉维奇，球被防守队员抢到                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
85'迪亚涅越位位置回撤拿球                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
85'贵州智诚队中场迭球，转移到左侧                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
85'耶拉维奇进球！！                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
86'唐鑫左路起球传中，禁区内耶拉维奇跃头球攻门，直入网内                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
86'这球杜佳都没有反映的时间呀！                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
87'惠家康边路起球传中，可惜没有队友包抄到位！                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
87'比赛进行87分钟了！                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
87'天津亿利队后场抢断，转移到右侧，再交到阿奇姆彭的脚下                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
88'阿奇姆彭盘带到前场，转移到杨立瑜的脚下                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
88'天津亿利队控制一下节奏！                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
88'米克尔分球转移到左侧，赵宏略分球到米克尔的脚下                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
88'米克尔斜传球                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
88'天津亿利队进球！！                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
88'杨立瑜进球！！世界波呀！！                   85'第85分钟，唐鑫边路弧线球传中，耶拉维奇头球破门
54'闵俊麟护球，对方两人夹击                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
54'裁判吹闵俊麟持球了                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
54'双方出现争执，最后服从裁判                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
54'天津亿利队角旗附近的任意球机会，买提江来主罚                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
55'开到禁区内，第一点被防守队员抢到顶出来                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
55'贵州智诚队控球反击，找到耶拉维奇！                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
55'白岳峰犯规，被主裁判黄牌警告　                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
55'天津亿利队一名队员还倒在地上                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
56'赵宏略倒在地上还没有起来，刚才被阿奇姆彭给撞倒了                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
56'贵州智诚队的前场左侧任意球机会                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
57'任意球开到禁区内，第一点被防守队员抢到顶出来                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
57'阿奇姆彭控球快速的推进到前场，想人球分过唐鑫，没有成功                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
57'天津亿利队前场右侧的界外球，掷到场内                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
57'杨立瑜拿球被放倒了                   54'第9分钟，天津泰达中路送出直塞，阿奇姆彭快速插上形成单刀，面对门将小角度推射，球先后击中左右两侧立柱，最终被苏渤洋没收
63'耶拉维奇控球，横向盘带！                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
63'迪亚涅犯规，吃到黄牌                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
63'贵州智诚队控球，转移到左侧，卡斯特罗分球                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
63'在对方的逼抢下回传球给到后场，再交到蒋亮的脚下，直塞球被拦截了                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
64'天津亿利队控球快速打反击，                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
64'米克尔分球转移到右侧，再分球转移到右侧                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
64'阿奇姆彭回敲球给买提江                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
64'买提江右侧拿球遭到夹击，带出了边线！                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
65'迪亚涅断球转移到则，斜传球                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
65'买提江倒三角的传球，惠家康跑过了，错失机会呀！                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
65'买提江前场断球，苏亚雷斯犯规了！                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
66'米克尔主罚任意球，斜长传球，阿奇姆彭起动早了，越位！                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
66'比赛进行65分钟了                   63'第18分钟，杨立瑜突入禁区被铲倒，但底线裁判和主裁判均未判罚
76'王帆人球分过，传球给耶拉维奇，再搓到禁区内，卡斯特罗头球攻门被门将没收                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
77'天津亿利队前场控球，迪亚涅分球到中路米克尔的脚下，再转移到右侧                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
77'天津亿利队右路的直传球力量大了，林隆昌解围出来                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
78'天津亿利队前场右侧斜传，阿奇姆彭趟球趟大了，再传球直接给了门将                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
78'天津亿利队得球，惠家康人球分过，交给阿奇姆彭，遭到夹击球被断了                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
78'这段时间体能力下，突破也没有那么犀利了                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
79'王帆回传球给蒋亮，阿奇姆彭抢球时犯规了                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
79'天津亿利队还没有做出换人的调整呢                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
79'卡斯特罗直传球打身后，曹阳回防卡住位置，门将出击把球得到                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
79'这段时间贵州智诚队的进攻有所加强呀                   76'第31分钟，米克尔送出挑传，阿奇姆彭快速前插小角度爆射，球稍稍偏出立柱
92'下半场比赛补时四分钟！                   92'第47分钟，杜威禁区前拉倒迪亚涅，被黄牌警告，同时送给天津泰达禁区前任意球，迪亚涅亲自操刀主罚，皮球绕过人墙后击中立柱外侧弹出
