10'曼朱基奇左路拿球回敲                   10'第10分钟，克拉默远射被封堵
10'门兴中场断球，打反击                   10'第10分钟，克拉默远射被封堵
11'克拉马禁区外围的射门被后卫挡了一下出底线                   10'第10分钟，克拉默远射被封堵
11'门兴获得角球机会                   10'第10分钟，克拉默远射被封堵
11'角球送前点，拜仁抢到第一点                   10'第10分钟，克拉默远射被封堵
11'禁区前沿，门兴抢球犯规                   10'第10分钟，克拉默远射被封堵
12'拜仁进球了！！！                   10'第10分钟，克拉默远射被封堵
12'罗本！！                   10'第10分钟，克拉默远射被封堵
12'12分钟！！罗本打进拜仁德甲新赛季首球！                   10'第10分钟，克拉默远射被封堵
13'施特根后场大脚出现失误，拜仁接球后给到里贝里脚下，里贝里直接挑传送到禁区内，罗本插上后一脚垫射将球打进！                   10'第10分钟，克拉默远射被封堵
13'非常的连贯                   10'第10分钟，克拉默远射被封堵
16'2-0！！！                   16'第16分钟，罗本右侧开出任意球，里贝里前点左脚斜射被特尔施特根封出，曼朱基奇在门前6米处左脚推射入网，2比0
16'曼朱基奇补射建功！！                   16'第16分钟，罗本右侧开出任意球，里贝里前点左脚斜射被特尔施特根封出，曼朱基奇在门前6米处左脚推射入网，2比0
17'罗本任意球快速发出送到禁区内，里贝里抢点捅射被施特根扑了一下，小禁区前沿，曼朱基奇补射将球送入球门！                   16'第16分钟，罗本右侧开出任意球，里贝里前点左脚斜射被特尔施特根封出，曼朱基奇在门前6米处左脚推射入网，2比0
18'门兴这边的反击也来了                   16'第16分钟，罗本右侧开出任意球，里贝里前点左脚斜射被特尔施特根封出，曼朱基奇在门前6米处左脚推射入网，2比0
18'拉斐尔左路禁区内接球，在无人看防的情况下打近角，是打偏了                   16'第16分钟，罗本右侧开出任意球，里贝里前点左脚斜射被特尔施特根封出，曼朱基奇在门前6米处左脚推射入网，2比0
19'拜仁右路传球送后点，曼朱基奇头球攻门顶近角，顶偏！                   16'第16分钟，罗本右侧开出任意球，里贝里前点左脚斜射被特尔施特根封出，曼朱基奇在门前6米处左脚推射入网，2比0
19'拜仁右路传球送后点，曼朱基奇头球攻门顶近角，顶偏！                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
20'这球曼朱基奇稍微受了一下干扰                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
20'罗本前场右边路拿球，对方也是两人包夹                   19'第19分钟，罗本右路传中，曼朱基奇后点顶偏
