1'上半场比赛开始                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
1'首先由曼联开球，从画面的右侧向左进攻                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
1'斯莫林后场起球到前场，第一点被维拉球员头球解围                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
2'卢克-肖左路拿球，面对逼抢，回传布林德                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
3'布林德的过顶直传，直接出了边线                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
3'巴库纳右路拿球，直塞给到阿邦拉霍                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
3'阿邦拉霍拿球强突，被卢克-肖放铲解围出边线                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
4'开场双方并没有太多的试探，直接拉开架势对攻                   1'双方第1分钟均显得小心谨慎，维拉严密逼抢令曼联难以组织起有威胁攻势
29'面对德帕伊的表现，现场球迷不断送上嘘声。。。                   29'曼联第29分钟取得领先，马塔斜传禁区左侧，贾努扎伊巧妙扣过封铲的里查兹，最后在小禁区左上角外的劲射打在克拉克腿上偏转，皮球击中远角立柱内侧入网
29'曼联进球啦！！！                   29'曼联第29分钟取得领先，马塔斜传禁区左侧，贾努扎伊巧妙扣过封铲的里查兹，最后在小禁区左上角外的劲射打在克拉克腿上偏转，皮球击中远角立柱内侧入网
29'此时此刻值得来杯嘉士伯！！！！                   29'曼联第29分钟取得领先，马塔斜传禁区左侧，贾努扎伊巧妙扣过封铲的里查兹，最后在小禁区左上角外的劲射打在克拉克腿上偏转，皮球击中远角立柱内侧入网
29'亚努扎伊！！！                   29'曼联第29分钟取得领先，马塔斜传禁区左侧，贾努扎伊巧妙扣过封铲的里查兹，最后在小禁区左上角外的劲射打在克拉克腿上偏转，皮球击中远角立柱内侧入网
30'马塔左路拿球，斜塞禁区给到亚努扎伊，亚努扎伊小禁区左侧停球，一扣晃倒上抢的理查兹，右脚低射，打进远角！！！                   29'曼联第29分钟取得领先，马塔斜传禁区左侧，贾努扎伊巧妙扣过封铲的里查兹，最后在小禁区左上角外的劲射打在克拉克腿上偏转，皮球击中远角立柱内侧入网
31'这个球也是曼联全队本赛季打进的第一个进球                   29'曼联第29分钟取得领先，马塔斜传禁区左侧，贾努扎伊巧妙扣过封铲的里查兹，最后在小禁区左上角外的劲射打在克拉克腿上偏转，皮球击中远角立柱内侧入网
31'上一场主场虽然赢了热刺，但打进唯一进球的却是热刺球员沃克——乌龙球                   29'曼联第29分钟取得领先，马塔斜传禁区左侧，贾努扎伊巧妙扣过封铲的里查兹，最后在小禁区左上角外的劲射打在克拉克腿上偏转，皮球击中远角立柱内侧入网
38'维拉前场进攻，赢得左侧角球机会                   38'维拉全场首次射门出现在第38分钟，韦斯特伍德开出角球，摆脱达米安的里查兹10码处头球顶高
38'角球开出到禁区，理查兹和达米安抢点，互有拉扯                   38'维拉全场首次射门出现在第38分钟，韦斯特伍德开出角球，摆脱达米安的里查兹10码处头球顶高
39'理查兹表情夸张的摔倒在禁区，主裁判迪恩并未表示                   38'维拉全场首次射门出现在第38分钟，韦斯特伍德开出角球，摆脱达米安的里查兹10码处头球顶高
40'球也是砸在理查兹脑袋上直接飞出了底线                   38'维拉全场首次射门出现在第38分钟，韦斯特伍德开出角球，摆脱达米安的里查兹10码处头球顶高
40'阿尤前场拿球，卡里克回防上抢拦截                   38'维拉全场首次射门出现在第38分钟，韦斯特伍德开出角球，摆脱达米安的里查兹10码处头球顶高
40'阿尤原地反抢，被吹拉人犯规                   38'维拉全场首次射门出现在第38分钟，韦斯特伍德开出角球，摆脱达米安的里查兹10码处头球顶高
41'上半场比赛40分钟，比分0-1，亚努扎伊进球，曼联领先                   38'维拉全场首次射门出现在第38分钟，韦斯特伍德开出角球，摆脱达米安的里查兹10码处头球顶高
73'阿尤在上来的施奈德林没有任何接触的情况下倒地，裁判命好                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
73'鸣哨                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
73'吹罚了阿尤的假摔，给阿尤送上黄牌一张！！！                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
73'这也是本场比赛的第一张黄牌！！！                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
74'古埃耶中场拿球，带球进攻，身后回追的安德尔拉着球衣不放啊                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
74'安德尔被主裁判出示了黄牌警告！！！                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
75'阿马维左路拿球，强突，下底传中被达米安拦截                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
75'两人再次争抢中双双倒地，裁判没表示，球被回来的施奈德林控制                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
76'鲁尼中场争抢被吹身后推人犯规                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
76'鲁尼很不爽，对着转身往前走的裁判迪恩怒吼                   73'曼联第73分钟错失良机，马塔中场在施奈德林帮助下抢断后直传，德佩禁区左侧边缘的单刀射门偏出远角
