1'坎赛罗将球处理出底线,亚特兰大获得角球.                   1'第1分钟，戈麦斯开出角球，卡尔达拉抢点左脚打高
1'亚特兰大球员卡尔达拉大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是A-戈麦斯.                   1'第1分钟，戈麦斯开出角球，卡尔达拉抢点左脚打高
3'亚特兰大球员Marten de Roon拼抢犯规,对手获得控球权.                   1'第1分钟，戈麦斯开出角球，卡尔达拉抢点左脚打高
3'博尔加-巴雷罗为国际米兰赢得一个任意球.                   1'第1分钟，戈麦斯开出角球，卡尔达拉抢点左脚打高
19'射门!!!亚特兰大球员Musa Barrow大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是戈森斯.                   19'亚特兰大第19分钟再度错过机会，霍森斯左路传球，巴罗突入禁区距门11米处左脚推射被汉达诺维奇出击封出近门柱
19'汉达诺维奇将球处理出底线,亚特兰大获得角球.                   19'亚特兰大第19分钟再度错过机会，霍森斯左路传球，巴罗突入禁区距门11米处左脚推射被汉达诺维奇出击封出近门柱
20'亚特兰大球员Marten de Roon拼抢犯规,对手获得控球权.                   19'亚特兰大第19分钟再度错过机会，霍森斯左路传球，巴罗突入禁区距门11米处左脚推射被汉达诺维奇出击封出近门柱
20'拉菲尼亚为国际米兰赢得一个任意球.                   19'亚特兰大第19分钟再度错过机会，霍森斯左路传球，巴罗突入禁区距门11米处左脚推射被汉达诺维奇出击封出近门柱
71'国际米兰球员拉菲尼亚大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是伊卡尔迪.                   71'国米第71分钟错过机会，拉菲尼亚分球，佩里希奇左路低传禁区，伊卡尔迪插到前点脚后跟回做，拉菲尼亚在门前12米处左脚推射高出
72'国际米兰换人,埃德换下拉菲尼亚                   71'国米第71分钟错过机会，拉菲尼亚分球，佩里希奇左路低传禁区，伊卡尔迪插到前点脚后跟回做，拉菲尼亚在门前12米处左脚推射高出
74'亚特兰大球员Marten de Roon拼抢犯规,对手获得控球权.                   71'国米第71分钟错过机会，拉菲尼亚分球，佩里希奇左路低传禁区，伊卡尔迪插到前点脚后跟回做，拉菲尼亚在门前12米处左脚推射高出
74'加格里亚迪尼为国际米兰赢得一个任意球.                   71'国米第71分钟错过机会，拉菲尼亚分球，佩里希奇左路低传禁区，伊卡尔迪插到前点脚后跟回做，拉菲尼亚在门前12米处左脚推射高出
