2'多特蒙德球员罗伊斯球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是本德尔.                   2'开场2分钟，斯文-本德分边，罗伊斯左路突破科布，小角度没收偏出远门柱
5'科布将球处理出底线,多特蒙德获得角球.                   2'开场2分钟，斯文-本德分边，罗伊斯左路突破科布，小角度没收偏出远门柱
18'多特蒙德球员皮什切克一脚直塞球给奥巴梅扬,但是边裁举旗显示后者已经越位.                   18'第18分钟，皮什切克斜传禁区，奥巴梅扬转身挑过头顶将球射进，但越位在先
19'多特蒙德球员姆希塔良大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是奥巴梅扬.                   18'第18分钟，皮什切克斜传禁区，奥巴梅扬转身挑过头顶将球射进，但越位在先
37'多特蒙德球员姆希塔良大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是本德尔.                   37'第37分钟，斯文-本德妙传禁区，姆希塔良打远角稍稍高出
40'诺尔特韦斯特为门兴赢得一个任意球.                   37'第37分钟，斯文-本德妙传禁区，姆希塔良打远角稍稍高出
40'多特蒙德球员香川真司拼抢犯规,对手获得控球权.                   37'第37分钟，斯文-本德妙传禁区，姆希塔良打远角稍稍高出
58'门兴球员克拉默自摆乌龙,多特蒙德 1-0 门兴                   58'下半时开始13分钟，扬奇克后场直传，克拉默中圈线以内背身回传门将，却变成一记吊射越过佐默头顶弹地入网，1比0
59'多特蒙德球员罗伊斯大禁区外右脚射门,命中门柱横梁.                   58'下半时开始13分钟，扬奇克后场直传，克拉默中圈线以内背身回传门将，却变成一记吊射越过佐默头顶弹地入网，1比0
59'多特蒙德球员凯尔一脚直塞球给罗伊斯,但是边裁举旗显示后者已经越位.                   58'下半时开始13分钟，扬奇克后场直传，克拉默中圈线以内背身回传门将，却变成一记吊射越过佐默头顶弹地入网，1比0
61'哈恩为门兴赢得一个任意球.                   58'下半时开始13分钟，扬奇克后场直传，克拉默中圈线以内背身回传门将，却变成一记吊射越过佐默头顶弹地入网，1比0
61'多特蒙德球员杜尔姆拼抢犯规,对手获得控球权.                   58'下半时开始13分钟，扬奇克后场直传，克拉默中圈线以内背身回传门将，却变成一记吊射越过佐默头顶弹地入网，1比0
