8'AC米兰球员苏索大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡拉.                   8'开场8分钟，卡拉布里亚禁区右侧回敲，苏索在门前11米处左脚打偏
10'乌迪内斯球员M-洛佩斯一脚直塞球给拉萨纳,但是边裁举旗显示后者已经越位.                   8'开场8分钟，卡拉布里亚禁区右侧回敲，苏索在门前11米处左脚打偏
11'AC米兰受伤倒地,比赛暂停                   8'开场8分钟，卡拉布里亚禁区右侧回敲，苏索在门前11米处左脚打偏
19'AC米兰球员卡利尼奇大禁区中央头球,命中门柱左侧立柱.给他传球的是博纳文图拉.                   19'AC米兰第19分钟错过进球，博纳文图拉右侧开出角球，卡利尼奇在门前11米处头球击中左门柱弹回，博努奇准备补射，球碰斯库费特腿部滚向球门，德保罗门线附近解围
19'AC米兰球员博努奇小禁区左侧右脚射门,被防守球员封堵.                   19'AC米兰第19分钟错过进球，博纳文图拉右侧开出角球，卡利尼奇在门前11米处头球击中左门柱弹回，博努奇准备补射，球碰斯库费特腿部滚向球门，德保罗门线附近解围
19'乌迪内斯球员拉萨纳拼抢犯规,对手获得控球权.                   19'AC米兰第19分钟错过进球，博纳文图拉右侧开出角球，卡利尼奇在门前11米处头球击中左门柱弹回，博努奇准备补射，球碰斯库费特腿部滚向球门，德保罗门线附近解围
19'卡拉为AC米兰赢得一个任意球.                   19'AC米兰第19分钟错过进球，博纳文图拉右侧开出角球，卡利尼奇在门前11米处头球击中左门柱弹回，博努奇准备补射，球碰斯库费特腿部滚向球门，德保罗门线附近解围
20'Samir为乌迪内斯赢得一个任意球.                   19'AC米兰第19分钟错过进球，博纳文图拉右侧开出角球，卡利尼奇在门前11米处头球击中左门柱弹回，博努奇准备补射，球碰斯库费特腿部滚向球门，德保罗门线附近解围
20'AC米兰球员卡拉拼抢犯规,对手获得控球权.                   19'AC米兰第19分钟错过进球，博纳文图拉右侧开出角球，卡利尼奇在门前11米处头球击中左门柱弹回，博努奇准备补射，球碰斯库费特腿部滚向球门，德保罗门线附近解围
22'进球啦！！！AC米兰球员卡利尼奇大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是卡拉. AC米兰 1-0 乌迪内斯.                   19'AC米兰第19分钟错过进球，博纳文图拉右侧开出角球，卡利尼奇在门前11米处头球击中左门柱弹回，博努奇准备补射，球碰斯库费特腿部滚向球门，德保罗门线附近解围
22'进球啦！！！AC米兰球员卡利尼奇大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是卡拉. AC米兰 1-0 乌迪内斯.                   22'AC米兰第22分钟取得领先
24'巴拉克为乌迪内斯赢得一个任意球.                   22'AC米兰第22分钟取得领先
24'AC米兰球员比格利亚拼抢犯规,对手获得控球权.                   22'AC米兰第22分钟取得领先
51'穆萨基奥将球处理出底线,乌迪内斯获得角球.                   51'但仅过6分钟，乌迪内斯就追平比分，罗马尼奥利掷入边线球后传中，拉萨尼亚在门前12米处左脚低射入左下角，1比1
52'Rodrigo de Paul为乌迪内斯在左路,赢得一个任意球.                   51'但仅过6分钟，乌迪内斯就追平比分，罗马尼奥利掷入边线球后传中，拉萨尼亚在门前12米处左脚低射入左下角，1比1
52'AC米兰球员比格利亚拼抢犯规,对手获得控球权.                   51'但仅过6分钟，乌迪内斯就追平比分，罗马尼奥利掷入边线球后传中，拉萨尼亚在门前12米处左脚低射入左下角，1比1
52'乌迪内斯球员努伊丁克 大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是扬科托.                   51'但仅过6分钟，乌迪内斯就追平比分，罗马尼奥利掷入边线球后传中，拉萨尼亚在门前12米处左脚低射入左下角，1比1
82'AC米兰球员凯西一脚直塞球给卡利尼奇,但是边裁举旗显示后者已经越位.                   82'第82分钟，凯西右路直传禁区，卡利尼奇在门前9米处推进远角，他开始奔跑庆祝，但主裁判与录像助理裁判长时间商议后，最终判定越位，进球被取消
82'AC米兰受伤倒地,比赛暂停                   82'第82分钟，凯西右路直传禁区，卡利尼奇在门前9米处推进远角，他开始奔跑庆祝，但主裁判与录像助理裁判长时间商议后，最终判定越位，进球被取消
84'暂停结束,球员们重新开始比赛.                   82'第82分钟，凯西右路直传禁区，卡利尼奇在门前9米处推进远角，他开始奔跑庆祝，但主裁判与录像助理裁判长时间商议后，最终判定越位，进球被取消
85'AC米兰换人,洛卡特利换下卡利尼奇                   82'第82分钟，凯西右路直传禁区，卡利尼奇在门前9米处推进远角，他开始奔跑庆祝，但主裁判与录像助理裁判长时间商议后，最终判定越位，进球被取消
