3'进球啦！！！多特蒙德球员罗伊斯球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是普利西奇. 多特蒙德 1-0 法兰克福.                   2'开场2分钟，多特首次射门就取得领先
4'法兰克福球员Marius Wolf拼抢犯规,对手获得控球权.                   2'开场2分钟，多特首次射门就取得领先
4'施梅尔策为多特蒙德赢得一个任意球.                   2'开场2分钟，多特首次射门就取得领先
5'法兰克福球员Lukás Hrádecky一脚直塞球给赫尔戈塔,但是边裁举旗显示后者已经越位.                   2'开场2分钟，多特首次射门就取得领先
17'多特蒙德球员香川真司大禁区外左脚射门,被防守球员封堵.给他传球的是普利西奇.                   15'多特蒙德是本赛季德甲前15分钟进球最多的球队（14球）
18'法兰克福球员钱德勒手球犯规,对手获得球权.                   15'多特蒙德是本赛季德甲前15分钟进球最多的球队（14球）
18'施梅尔策为多特蒙德赢得一个任意球.                   15'多特蒙德是本赛季德甲前15分钟进球最多的球队（14球）
29'进球啦！！！法兰克福球员Marco Fabián大禁区外右脚射门,球从右上角飞进球门,球进了!助攻的是奥奇普卡. 多特蒙德 1-1 法兰克福.                   29'法兰克福第29分钟扳平比分
31'法兰克福球员巴耶霍拼抢犯规,对手获得控球权.                   29'法兰克福第29分钟扳平比分
31'罗伊斯为多特蒙德赢得一个任意球.                   29'法兰克福第29分钟扳平比分
32'法兰克福球员赫尔戈塔拼抢犯规,对手获得控球权.                   29'法兰克福第29分钟扳平比分
32'帕帕斯塔索普洛斯为多特蒙德赢得一个任意球.                   29'法兰克福第29分钟扳平比分
52'法兰克福球员马斯卡雷尔拼抢犯规,对手获得控球权.                   50'但仅过5分钟，多特恢复领先优势，斯文-本德左路低传，帕帕斯塔索普洛斯中路突破后卫，禁区前沿大力抽射击中左门柱内侧弹进，2比1
52'金特尔为多特蒙德赢得一个任意球.                   50'但仅过5分钟，多特恢复领先优势，斯文-本德左路低传，帕帕斯塔索普洛斯中路突破后卫，禁区前沿大力抽射击中左门柱内侧弹进，2比1
53'钱德勒为法兰克福赢得一个任意球.                   50'但仅过5分钟，多特恢复领先优势，斯文-本德左路低传，帕帕斯塔索普洛斯中路突破后卫，禁区前沿大力抽射击中左门柱内侧弹进，2比1
53'多特蒙德球员施梅尔策拼抢犯规,对手获得控球权.                   50'但仅过5分钟，多特恢复领先优势，斯文-本德左路低传，帕帕斯塔索普洛斯中路突破后卫，禁区前沿大力抽射击中左门柱内侧弹进，2比1
86'进球啦！！！多特蒙德球员奥巴梅扬大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是登贝莱. 多特蒙德 3-1 法兰克福.                   86'多特第86分钟锁定胜局，沙欣后场大脚解围，登贝莱左肋突破吸引防守后分球，奥巴梅扬右侧距门10米处轻挑入网，3比1，这是他本赛季德甲第26球，超越上赛季（25球），创造个人单赛季联赛进球纪录
88'法兰克福球员雷比奇拼抢犯规,对手获得控球权.                   86'多特第86分钟锁定胜局，沙欣后场大脚解围，登贝莱左肋突破吸引防守后分球，奥巴梅扬右侧距门10米处轻挑入网，3比1，这是他本赛季德甲第26球，超越上赛季（25球），创造个人单赛季联赛进球纪录
88'帕帕斯塔索普洛斯为多特蒙德赢得一个任意球.                   86'多特第86分钟锁定胜局，沙欣后场大脚解围，登贝莱左肋突破吸引防守后分球，奥巴梅扬右侧距门10米处轻挑入网，3比1，这是他本赛季德甲第26球，超越上赛季（25球），创造个人单赛季联赛进球纪录
89'法兰克福球员Danny Blum大禁区外尝试左脚射门,可惜皮球高出球门.                   86'多特第86分钟锁定胜局，沙欣后场大脚解围，登贝莱左肋突破吸引防守后分球，奥巴梅扬右侧距门10米处轻挑入网，3比1，这是他本赛季德甲第26球，超越上赛季（25球），创造个人单赛季联赛进球纪录
