30'本德尔将球处理出底线,多特蒙德获得角球.                   30'多特第30分钟取得领先
30'进球啦！！！多特蒙德球员扎加多球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是桑乔. 多特蒙德 1-0 勒沃库森.                   30'多特第30分钟取得领先
33'多特蒙德球员阿尔卡塞尔大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是桑乔.                   30'多特第30分钟取得领先
37'进球啦！！！勒沃库森球员弗兰德大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是哈维茨. 多特蒙德 1-1 勒沃库森.                   37'勒沃库森第37分钟追平，哈弗茨右肋与福兰德踢墙配合后回敲，福兰德禁区前沿左脚低射钻入近角，1比1
38'进球啦！！！多特蒙德球员桑乔大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是迪亚洛. 多特蒙德 2-1 勒沃库森.                   37'勒沃库森第37分钟追平，哈弗茨右肋与福兰德踢墙配合后回敲，福兰德禁区前沿左脚低射钻入近角，1比1
40'多特蒙德球员阿什拉夫-哈基米拼抢犯规,对手获得控球权.                   37'勒沃库森第37分钟追平，哈弗茨右肋与福兰德踢墙配合后回敲，福兰德禁区前沿左脚低射钻入近角，1比1
40'阿兰基斯为勒沃库森在对方半场,赢得一个任意球.                   37'勒沃库森第37分钟追平，哈弗茨右肋与福兰德踢墙配合后回敲，福兰德禁区前沿左脚低射钻入近角，1比1
75'进球啦！！！勒沃库森球员乔纳森-塔大禁区中央头球,球从右上角飞进球门,球进了!助攻的是布兰特. 多特蒙德 3-2 勒沃库森.                   75'勒沃库森第75分钟缩小差距，布兰特任意球吊入禁区左侧，若纳唐-塔在门前6米处冲顶挂远角，2比3
76'多特蒙德换人,拉尔森换下圭雷罗                   75'勒沃库森第75分钟缩小差距，布兰特任意球吊入禁区左侧，若纳唐-塔在门前6米处冲顶挂远角，2比3
77'勒沃库森球员魏泽尔大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.                   75'勒沃库森第75分钟缩小差距，布兰特任意球吊入禁区左侧，若纳唐-塔在门前6米处冲顶挂远角，2比3
77'多特蒙德桑乔受伤倒地,比赛暂停                   75'勒沃库森第75分钟缩小差距，布兰特任意球吊入禁区左侧，若纳唐-塔在门前6米处冲顶挂远角，2比3
