随着主裁判一声哨响,上半场比赛开始.
2'皮纳尔为埃弗顿赢得一个任意球.
2'利物浦球员杰拉德拼抢犯规,对手获得控球权.
6'利物浦球员斯图里奇大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是库蒂尼奥.
11'埃弗顿球员皮纳尔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是费莱尼.
14'利物浦球员斯图里奇大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是杰拉德.
16'利物浦球员库蒂尼奥一脚直塞球给斯图里奇,但是边裁举旗显示后者已经越位.
17'皮纳尔为埃弗顿在左路,赢得一个任意球.
17'利物浦球员格伦-约翰逊拼抢犯规,对手获得控球权.
17'埃弗顿球员费莱尼球门线跟前尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是拜恩斯.
20'射门!!!埃弗顿球员米纳拉斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是吉布森.
21'利物浦球员斯图里奇大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是库蒂尼奥.
21'奥斯曼为埃弗顿在对方半场,赢得一个任意球.
21'利物浦球员杰拉德拼抢犯规,对手获得控球权.
24'何塞-恩里克将球处理出底线,埃弗顿获得角球.
24'埃弗顿球员皮纳尔大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿尼切贝.
26'埃弗顿球员吉布森拼抢犯规,对手获得控球权.
26'库蒂尼奥为利物浦在右路,赢得一个任意球.
27'埃弗顿球员费莱尼拼抢犯规,对手获得控球权.
27'卡拉格为利物浦赢得一个任意球.
31'利物浦球员杰拉德大禁区中央右脚射门,被防守球员封堵.给他传球的是亨德森.
31'埃弗顿球员费莱尼拼抢犯规,对手获得控球权.
31'卢卡斯为利物浦在对方半场,赢得一个任意球.
32'利物浦球员杰拉德大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.
33'贾吉尔卡将球处理出底线,利物浦获得角球.
34'皮纳尔为埃弗顿在右路,赢得一个任意球.
34'利物浦球员何塞-恩里克拼抢犯规,对手获得控球权.
37'皮纳尔为埃弗顿在左路,赢得一个任意球.
37'利物浦球员卢卡斯拼抢犯规,对手获得控球权.
38'米纳拉斯为埃弗顿在对方半场,赢得一个任意球.
38'利物浦球员阿格尔拼抢犯规,对手获得控球权.
39'埃弗顿球员吉布森大禁区外尝试右脚射门,可惜皮球偏出球门.
40'埃弗顿球员拜恩斯拼抢犯规,对手获得控球权.
40'唐宁为利物浦在右路,赢得一个任意球.
41'埃弗顿球员阿尼切贝拼抢犯规,对手获得控球权.
41'卡拉格为利物浦赢得一个任意球.
43'埃弗顿球员吉布森大禁区外左脚射门,被防守球员封堵.
43'杰拉德将球处理出底线,埃弗顿获得角球.
44'唐宁将球处理出底线,埃弗顿获得角球.
45'+2'上半场结束,利物浦 0-0 埃弗顿,稍事休息,我们一会来看看下半场两队的表现.
下半场比赛开始,利物浦 0-0 埃弗顿
48'射门!!!利物浦球员斯图里奇球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是库蒂尼奥.
49'利物浦球员斯图里奇大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是库蒂尼奥.
