38'C-富克斯将球处理出底线,诺维奇获得角球.                   38'诺维奇第38分钟险些破门，杰罗姆角球混战中近距离头球攻门稍稍偏出
38'诺维奇球员杰罗姆球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是布雷迪.                   38'诺维奇第38分钟险些破门，杰罗姆角球混战中近距离头球攻门稍稍偏出
89'莱斯特球员Jamie Vardy球门线跟前尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥尔布莱顿.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
89'进球啦！！！莱斯特球员乌罗阿球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是Jamie Vardy. 莱斯特 1-0 诺维奇.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'诺维奇球员雷蒙德拼抢犯规,对手获得控球权.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'Wes Morgan为莱斯特赢得一个任意球.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+2'诺维奇换人,班福德换下杰罗姆                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+2'诺维奇换人,姆博卡尼换下克洛泽                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+2'姆博卡尼为诺维奇在左路,赢得一个任意球.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+2'莱斯特球员Wes Morgan拼抢犯规,对手获得控球权.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+3'诺维奇球员班福德大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是雷恩-贝内特.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+5'贾维斯为诺维奇在左路,赢得一个任意球.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+5'莱斯特球员奥尔布莱顿拼抢犯规,对手获得控球权.                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
90'+6'下半场结束,莱斯特 1-0 诺维奇                   89'此后诺维奇顽强防守，莱斯特城直至第89分钟才打破僵局，马雷斯分球右路传中，阿尔布莱顿传中，瓦尔迪前点铲射仅稍稍碰到皮球，无人防守的乌略亚远点近距离破门，阿根廷人第79分钟才刚刚替补出场
