30'吉鲁传中，特里头球解围                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
30'科奎林中路把球控下，阿森纳中场组织一下                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
31'默特萨克分到身前的同伴，桑切斯左路拿球晃动                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
31'桑切斯推到插上的蒙雷亚尔面前                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
31'蒙雷亚尔传中找吉鲁头顶，吉鲁没有争到                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
31'上半场打了30分钟，比分依旧是0-0                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
31'伊万右路上来，自己突破，被对方夹抢下来                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
32'阿森纳后场传递，切尔西瞬间三人围抢上来把球断走                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
32'切尔西就地反击，阿扎尔禁区内埋头单干，被抢断了                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
33'贝莱林右路交给拉姆塞                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
33'拉姆塞推给插上的科奎林                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
33'阿森纳的控球能力很强，一直在传递                   30'全场赛前为布拉德福德球场火灾惨案30周年纪念默哀1分钟
53'切尔西左侧进攻，小法传球出了底线                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
53'阿扎尔左侧进攻，小法上来接应                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
53'阿扎尔左路面对贝莱林，没有好的办法                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
54'切尔西后场控制节奏，左路威廉拿球，回敲阿斯皮利奎塔                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
54'拉米雷斯中路分边，给到阿扎尔                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
55'阿森纳断球，进攻交给桑切斯                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
55'桑切斯犹如精灵一般在蓝色的包围下舞动着身姿向前突破                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
55'下法伸腿犯规了                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
56'小法这个球还是很聪明的，因为桑切斯冲起来就很难控制住他了                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
56'阿森纳定位球给到后点，没有造成威胁                   53'第8分钟，法布雷加斯直传，奥斯卡禁区左侧边缘内在贝莱林防守下摔倒，裁判未予判罚
61'在拼抢中撞到了德罗巴，属于一次意外受伤                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
61'拉姆塞左路直塞禁区内，被挡出来                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
62'阿森纳就地逼抢，把球断下                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
62'厄齐尔突到禁区边缘，横敲中路                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
62'拉姆塞跟上抡一脚，但卡希尔抢在他之前把球先捅出去                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
62'马蒂奇左路控球，知道自己的突破能力不够，选择回头给小法                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
63'小法挑传过顶给德罗巴被默特萨克解围                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
63'厄齐尔进攻停球打手犯规                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
63'切尔西的进攻，交给右路的威廉，威廉往中路走                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
64'切尔西还是把球打回到后场                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
64'库尔图瓦大脚开出，德罗巴前场扛住后卫                   61'第16分钟，法布雷加斯长传，反越位成功的奥斯卡12码处挑射后被奥斯皮纳撞倒，贝莱林在空门前解围
