1'主裁判一声哨响，双方上半场的比赛开始了                   1'双方第1分钟均在传接球方面失误不断
1'沃特福德队率先开球进攻                   1'双方第1分钟均在传接球方面失误不断
1'扬马特控球，长传球出了底线                   1'双方第1分钟均在传接球方面失误不断
1'利物浦队开球门球                   1'双方第1分钟均在传接球方面失误不断
2'奥卡卡防守犯规～                   1'双方第1分钟均在传接球方面失误不断
2'马内控球回敲球给莫雷诺，再转移到马蒂普的脚下                   1'双方第1分钟均在传接球方面失误不断
3'马蒂普长传球被挡回来                   1'双方第1分钟均在传接球方面失误不断
3'利物浦队得球，转移到右侧组织进攻                   1'双方第1分钟均在传接球方面失误不断
3'洛夫伦低平球的传球被对方挡出边线                   1'双方第1分钟均在传接球方面失误不断
4'菲尔米诺得球，直塞球被布里托斯破坏出来                   1'双方第1分钟均在传接球方面失误不断
4'洛夫伦中场球，转移到到右侧马蒂普的脚下，再长传球                   1'双方第1分钟均在传接球方面失误不断
29'开到右侧阿诺德的脚下，再直传球                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
29'对方把球破坏出了边线                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
29'马内内切，分球到莫雷诺的脚下，再回传球                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
29'利物浦队进球！！                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
29'比赛进行28分钟，马内进球！利物浦队扳平比分！                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
30'马禁区内接到队友的妙传，推射进球！                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
30'双方回到同一起跑线上                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
31'戈麦斯大脚开球，转移到右侧阿姆拉巴特得球内切                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
31'阿姆拉巴特陷入夹击，球被詹破坏出了边线                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
31'沃特福德界外球掷到场内，左路的低平球传球                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
32'阿姆拉巴特横敲                   29'利物浦第29分钟扳平，马内和莫雷诺踢墙配合后直插，埃姆雷-詹直传，马内突破至小禁区左上角外射入远角，1-1
38'查洛巴断球反击，禁区外围的一脚远射，偏出了底线                   38'利物浦第38分钟错过机会，萨拉赫单刀突入禁区右肋捅射上角高出
38'马内犯规吃到黄牌                   38'利物浦第38分钟错过机会，萨拉赫单刀突入禁区右肋捅射上角高出
38'洛夫伦控球，转移到右侧菲尔米诺的脚下，再传球到禁区内                   38'利物浦第38分钟错过机会，萨拉赫单刀突入禁区右肋捅射上角高出
39'萨拉赫打门高了开飞                   38'利物浦第38分钟错过机会，萨拉赫单刀突入禁区右肋捅射上角高出
