1'上半场比赛开始了                   1'双方第1分钟均显得小心谨慎
1'主场作战的中央陆军从右侧向左侧进攻，曼联则是从左向右                   1'双方第1分钟均显得小心谨慎
1'曼联新款的客场比赛服非常显眼                   1'双方第1分钟均显得小心谨慎
2'曼联中路组织进攻，马夏尔禁区前沿的分球被断                   1'双方第1分钟均显得小心谨慎
2'中央陆军一记长传，罗霍把球控制下来                   1'双方第1分钟均显得小心谨慎
2'回敲一下给到德赫亚，德赫亚右路交给瓦伦西亚                   1'双方第1分钟均显得小心谨慎
3'曼联右侧的长传，鲁尼拼抢落点，对别列祖茨基犯规了                   1'双方第1分钟均显得小心谨慎
4'瓦伦西亚右侧的直塞，被挡回来，琼斯拿球                   1'双方第1分钟均显得小心谨慎
4'琼斯扫了一眼场上的形势，转移到左路                   1'双方第1分钟均显得小心谨慎
15'费尔南德斯禁区内挑球过人，马夏尔防守中用手把球挡了一下                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
15'埃雷门科主罚点球                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
16'埃雷门科大力推射左下角，德赫亚判断准确，倒地扑了一下之后球击中门柱弹回                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
16'球回来之后又弹在了德赫亚身上，禁区内敦比亚机敏的补射，破门了                   15'莫斯科中央陆军第15分钟取得领先，马夏尔禁区内防守马里奥-费尔南德斯时手球犯规被罚黄牌，埃雷蒙科主罚点球射左下角被德赫亚扑挡后击中左侧立柱弹回，敦比亚小禁区前补射入网
