4'阿邦拉霍停球回敲给到维曼                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
4'维曼得球没有机会起脚，横带再打，被后卫挡出                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
5'马塔前场拿球，巴克尔侧向过来直接剪刀腿，将马塔放倒在地                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
5'巴克尔被主裁判出示黄牌警告                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
5'阿扎尔中场拿球，面对维拉的逼抢，回带交给特里                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
6'特里再过度给到阿扎尔，阿扎尔过顶直传给到科尔                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
6'科尔的下底传中，被后卫一挡弹起                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
6'登巴巴禁区内抢点，头球摆渡                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
6'可惜被维拉球员抢到第二落点解围啦                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
7'拉米雷斯中场拿球，过度给到马塔                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
7'马塔拿球转身，没机会，分边给到科尔                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
7'科尔在回传给到特里，特里横传卡希尔                   4'第4分钟，巴克中场铲倒马塔被罚黄牌
17'拉米雷斯被主裁判出示黄牌警告                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
17'维拉的前场任意球，开到禁区                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
17'切赫出击，在本特克头顶双拳将球打出                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
17'球权还在维拉球员脚下，德尔菲的远射，擦着左侧立柱出底线                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
18'维拉进球后，气势如虹啊，蓝军压上，防守得注意                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
19'科尔后场拿球，过度给到阿扎尔                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
19'阿扎尔中线位置拿球，面对逼抢，回敲拉米雷斯                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
19'切尔西左路转移球到右路，摩西拿球                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
19'摩西拿球转身，被防守球员推倒在地                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
20'切尔西获得前场右路的任意球机会                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
20'马塔任意球开到禁区，第一点被维拉球员解围                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
20'第二点还在切尔西球员脚下，科尔左边路再起                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
20'还是被维拉球员解围出禁区                   17'第17分钟，巴克头球摆渡，德尔夫左路25码处抽射偏出左上角
23'阿邦拉霍自己带球往中路，没有队友接应，失误啦                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
23'登巴巴单刀，古赞出击化解！！！                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
24'马塔禁区外的直塞给到前插的登巴巴，登巴巴单刀面对古赞，一脚低射，被古赞奋力挡出                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
24'接着维拉的后卫过来，将球解围                   23'切尔西第23分钟险些扳平，马塔直传，反越位成功的登巴-巴小禁区前单刀射门被古赞及时出击挡出
