12'拜仁慕尼黑球员基米希一脚直塞球给科曼,但是边裁举旗显示后者已经越位.                   9'开场9分钟，莱万左路传中，穆勒小禁区边缘飞身几乎铲到
36'进球啦！！！拜仁慕尼黑球员莱万多夫斯基大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是穆勒. 沃尔夫斯堡 0-2 拜仁慕尼黑.                   36'拜仁第36分钟扩大比分
38'哈维-马丁内斯将球处理出底线,沃尔夫斯堡获得角球.                   36'拜仁第36分钟扩大比分
66'拜仁慕尼黑球员莱万多夫斯基大禁区中央尝试,可惜皮球稍稍偏出了左球门.给他传球的是基米希.                   66'拜仁第66分钟再添一分，穆勒右路头球点给罗本，罗本拿球转身内切，在门前18米处左脚低射钻入近角，4比0，这是罗本效力拜仁德甲第88球，超过皮萨罗和绍尔（87球）
66'进球啦！！！拜仁慕尼黑球员罗本大禁区外左脚射门,球从右下角飞进球门,球进了! 沃尔夫斯堡 0-4 拜仁慕尼黑.                   66'拜仁第66分钟再添一分，穆勒右路头球点给罗本，罗本拿球转身内切，在门前18米处左脚低射钻入近角，4比0，这是罗本效力拜仁德甲第88球，超过皮萨罗和绍尔（87球）
67'沃尔夫斯堡换人,塞古恩换下罗德里格斯                   66'拜仁第66分钟再添一分，穆勒右路头球点给罗本，罗本拿球转身内切，在门前18米处左脚低射钻入近角，4比0，这是罗本效力拜仁德甲第88球，超过皮萨罗和绍尔（87球）
68'拜仁慕尼黑换人,贝尔纳特换下胡梅尔斯                   66'拜仁第66分钟再添一分，穆勒右路头球点给罗本，罗本拿球转身内切，在门前18米处左脚低射钻入近角，4比0，这是罗本效力拜仁德甲第88球，超过皮萨罗和绍尔（87球）
79'沃尔夫斯堡换人,Paul-Georges Ntep换下迪达维                   79'拜仁79分钟锦上添花，古斯塔沃撞倒雷纳托-桑谢斯后将球踢出场外，累计2张黄牌被罚下
80'拜仁慕尼黑球员莱万多夫斯基球门右侧小角度右脚射门,命中门柱右侧立柱.给他传球的是基米希.                   79'拜仁79分钟锦上添花，古斯塔沃撞倒雷纳托-桑谢斯后将球踢出场外，累计2张黄牌被罚下
80'进球啦！！！拜仁慕尼黑球员穆勒大禁区中央左脚射门,球从中路飞进球门,球进了! 沃尔夫斯堡 0-5 拜仁慕尼黑.                   79'拜仁79分钟锦上添花，古斯塔沃撞倒雷纳托-桑谢斯后将球踢出场外，累计2张黄牌被罚下
81'沃尔夫斯堡球员卡斯特尔斯一脚直塞球给Riechedly Bazoer,但是边裁举旗显示后者已经越位.                   79'拜仁79分钟锦上添花，古斯塔沃撞倒雷纳托-桑谢斯后将球踢出场外，累计2张黄牌被罚下
85'沃尔夫斯堡球员维埃里尼亚大禁区右侧左脚射门,被防守球员封堵.给他传球的是阿诺尔德.                   85'第85分钟，罗本接应后场长传，左路底线传中，基米希后点停球小角度抽射入近角，6比0
85'进球啦！！！拜仁慕尼黑球员基米希球门右侧小角度右脚射门,球从中路飞进球门,球进了!助攻的是罗本. 沃尔夫斯堡 0-6 拜仁慕尼黑.                   85'第85分钟，罗本接应后场长传，左路底线传中，基米希后点停球小角度抽射入近角，6比0
88'维埃里尼亚为沃尔夫斯堡赢得一个任意球.                   85'第85分钟，罗本接应后场长传，左路底线传中，基米希后点停球小角度抽射入近角，6比0
88'拜仁慕尼黑球员贝尔纳特拼抢犯规,对手获得控球权.                   85'第85分钟，罗本接应后场长传，左路底线传中，基米希后点停球小角度抽射入近角，6比0
