1'多特蒙德球员阿德里安-拉莫斯拼抢犯规,对手获得控球权.                   1'第1分钟，首次代表客队先发的莱斯卡诺几乎形成单刀，但胡梅尔斯及时下铲救险
1'罗赫尔-马蒂为因戈尔施塔特赢得一个任意球.                   1'第1分钟，首次代表客队先发的莱斯卡诺几乎形成单刀，但胡梅尔斯及时下铲救险
1'因戈尔施塔特球员厄兹赞一脚直塞球给Moritz Hartmann,但是边裁举旗显示后者已经越位.                   1'第1分钟，首次代表客队先发的莱斯卡诺几乎形成单刀，但胡梅尔斯及时下铲救险
2'因戈尔施塔特球员莫拉莱斯拼抢犯规,对手获得控球权.                   1'第1分钟，首次代表客队先发的莱斯卡诺几乎形成单刀，但胡梅尔斯及时下铲救险
2'魏格尔为多特蒙德赢得一个任意球.                   1'第1分钟，首次代表客队先发的莱斯卡诺几乎形成单刀，但胡梅尔斯及时下铲救险
30'皮什切克将球处理出底线,因戈尔施塔特获得角球.                   30'第30分钟，莱斯卡诺接应过顶球，禁区边缘挑过比尔基，就在他跟进准备将球打进空门时，皮什切克回追抢先解围
32'多特蒙德球员杜尔姆一脚直塞球给香川真司,但是边裁举旗显示后者已经越位.                   30'第30分钟，莱斯卡诺接应过顶球，禁区边缘挑过比尔基，就在他跟进准备将球打进空门时，皮什切克回追抢先解围
70'因戈尔施塔特球员丹尼-达科斯塔一脚直塞球给Moritz Hartmann,但是边裁举旗显示后者已经越位.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
70'因戈尔施塔特球员丹尼-达科斯塔一脚直塞球给Moritz Hartmann,但是边裁举旗显示后者已经越位.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
71'因戈尔施塔特换人,莱克斯换下Moritz Hartmann                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
71'因戈尔施塔特换人,莱克斯换下Moritz Hartmann                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
71'莱克斯为因戈尔施塔特在左路,赢得一个任意球.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
71'莱克斯为因戈尔施塔特在左路,赢得一个任意球.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
71'多特蒙德球员皮什切克拼抢犯规,对手获得控球权.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
71'多特蒙德球员皮什切克拼抢犯规,对手获得控球权.                   69'第69分钟，美国中场普利西奇换下拉莫斯，以17岁4个月12天的年龄，成为德甲历史上第8年轻的首秀球员
