1'好的比赛开始，建业率先进攻、                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
1'河南建业中场起球，前场冯卓毅拿球，没机会，给到后场戈麦斯                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
1'冯劲左边路突破，球被防守球员碰出界外                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
1'徐小波拿球，给到中场冯劲，冯卓毅断球                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
2'给前场奥斯曼，回敲中场伊鸿博，吴庆犯规了                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
2'建业前场定位球                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
2'伊沃主罚，打到禁区内，一片混沌，解围出来                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
3'伊沃中场拿球，分边路，传中，球被王栋解围                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
4'牟善韬中场拿球，给到前场奥斯曼，罗歆犯规了                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
4'前场定位球，继续伊沃主罚                   1'第1分钟，河南建业攻势更胜，连续制造两次定位球进攻，但未形成攻门机会
20'建业的突破边路，突然起脚传中，球出底线，角球                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
20'伊沃主罚角球，开进来，球进了，戈麦斯！！！！！！                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
20'客场作战的建业取得领先                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
20'伊沃角球开出来，戈麦斯回头望月头球一顶，直接将球顶入网窝，邓小飞没有办法                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
21'主场落后，力帆必须做出调整了                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
21'中场拼抢中，王栋被犯规了                   20'第20分钟，重庆力帆中场送出长传，吉利奥迪快速插上停球形成突破之势，但他射门时被回追的麦克格文用身体挡出
