1'上半场比赛开始！                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
1'恒大率先中圈开球                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
1'郑智拿球过中场被拉拽                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
1'阿兰左路分球被拦截                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
2'高拉特反抢撞人犯规                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
2'姜积弘长传，被头球顶出来                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
3'高拉特肋部拿球，分郜林                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
3'黄博文禁区内回敲，禁区前空挡                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
3'高拉特跟上凌空抽射被关震挡出！                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
4'郜林和阿兰补射没抢到                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
4'李提香过顶球分左路                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
4'张琳芃上抢破坏了                   1'第1分钟恒大反客为主，迅速掌控了进攻主动权
6'边路的传中没有过第一点                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
6'郑智外围远射打在李春郁手上，禁区外的任意球                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
7'黄博文任意球直接射门打高！                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
7'永昌后场大脚找马修斯，先出界                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
8'张琳芃右路起球，前点被拦截                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
8'郜林底线前拿球回磕。先出底线                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
9'高拉特中场拿球转移                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
9'永昌后场连续的包夹围抢                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
9'继续大脚开出，没有反击                   6'第6分钟，郑智外围远射造成永昌手球犯规，黄博文任意球攻门打高
12'高拉特在裁判鸣哨后还是射了一脚，被黄牌警告                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
12'黄博文左路拿球传中                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
12'恒大进球了！！！                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
12'阿兰！！！                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
13'黄博文和队友踢墙配合到左路，传中到门前，阿兰插上冲顶甩头破门！                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
13'永昌0-1落后恒大                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
14'保利尼奥中场拿球转移                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
14'郑智拿球分右路                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
15'高拉特禁区前脚后跟做球，没有队友                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
15'阿兰插上接应过顶传球，越位                   12'第12分钟，恒大取得入球：黄博文在左路送出落点精准的传中，阿兰小禁区线前头球破门
22'黄博文右路拿球内切一步                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
22'远射打在立柱上弹出！                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
22'永昌反击，毛剑卿分左路，越位了                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
23'马修斯中场拿球突破被绊倒                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
24'裁判黄牌警告了梅方                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
24'任意球进禁区，许博抢点打偏了                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
25'郑智中场拿球，找队友                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
25'高拉特右路接应被断球                   22'第22分钟，表现活跃的黄博文右路远射击中立柱
