1'上半场比赛开始！                   1'第1分钟，两队直接进入高节奏对抗
1'上半场由拜仁率先中圈开球                   1'第1分钟，两队直接进入高节奏对抗
1'久违了的里贝里左路带球，被格策绊倒                   1'第1分钟，两队直接进入高节奏对抗
1'拜仁获得一个左路的任意球机会                   1'第1分钟，两队直接进入高节奏对抗
1'阿隆索的传中，施梅尔策将球拦截                   1'第1分钟，两队直接进入高节奏对抗
1'施梅尔策带球，回做一下                   1'第1分钟，两队直接进入高节奏对抗
2'阿隆索组织，交给博阿滕                   1'第1分钟，两队直接进入高节奏对抗
2'阿拉巴接应，横传给蒂亚戈                   1'第1分钟，两队直接进入高节奏对抗
2'蒂亚戈分边给了基米希                   1'第1分钟，两队直接进入高节奏对抗
2'基米希与拉姆互传一下                   1'第1分钟，两队直接进入高节奏对抗
3'皮什切克的长传，奥巴梅扬没有停好                   1'第1分钟，两队直接进入高节奏对抗
4'蒂亚戈组织，再分右路的基米希                   1'第1分钟，两队直接进入高节奏对抗
11'拉莫斯控制好分给皮什切克                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
11'皮什切克传中，奥巴梅扬卸下球来打门                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
11'球进了，奥巴梅扬！！！                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
12'多特蒙德在不经意间进球                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
13'再看一下，助攻的应该是格策                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
13'横策禁区右侧横传，奥巴梅扬抢点铲射破门                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
13'拜仁的进攻，阿隆索分左路给了阿拉巴                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
14'阿拉巴的过人没有成功                   11'第11分钟，奥巴梅扬禁区内脚后跟凌空回垫，皮什切克分球，格策禁区右侧低传穿过胡梅尔斯裆下，奥巴梅扬在门前4米处左脚捅进远角，1比0
56'穆勒右路过人后传门前，里贝里脚后跟将球磕入大网                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
56'不过是越位在先                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
56'拉姆后场拿球交给胡梅尔斯                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
56'胡梅尔斯交给蒂亚戈                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
56'分左路的里贝里                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
57'直传，穆勒反手直传中被帕帕斯塔索普洛斯先破坏                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
57'外围还是拜仁的控球                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
57'阿隆索这回传大了                   55'拜仁第55分钟进球无效，穆勒右路突破施梅尔策切入禁区低传，里贝里前点6米处脚后跟射入近角，但越位在先
61'拜仁换人，11号道格拉-科斯塔换下了32号基米希                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
61'我们继续看比赛                   61'拜仁第61分钟错过进球，里贝里禁区左侧回做，阿隆索在门前20米处左脚抽射击中远端门楣
