2'阿隆索左路拿球给到莫拉塔脚下                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
2'莫拉塔背身拿球被侵犯                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
2'切尔西前场左路的任意球                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
2'莫拉塔这边球衣已经被撕破了                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
2'这才仅仅1分多钟                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
2'切尔西任意球给了一个短的                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
2'坎特禁区外围拿球观察了一下                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
3'再起脚打门被德赫亚得到                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
3'这球有一个变向                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
3'好在球速并不快                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
3'曼联左路拿球被破坏                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
3'掷球进来被破坏                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
3'曼联中场重新控球                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
4'阿什利-扬左路下底被封堵                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
4'曼联的角球机会                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
4'角球打了一个战术配合                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
4'左路起球送禁区                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
4'这球更像是一个吊门                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
4'库尔图瓦在空中将球摘了下来                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
5'卡希尔后场传球                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
5'先出了边线                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
5'今天曼联轮换6人，马蒂奇和卢卡库首发对阵旧主，费莱尼伤愈回归替补席                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
5'切尔西这边坎特伤愈复出，克里斯滕森和扎帕科斯塔轮换出场                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
5'切尔西近13次对阵曼联仅上赛季客负1场                   2'开场仅2分钟，坎特30码外远射被德赫亚没收
12'切尔西右路传球送禁区                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
12'莫拉塔这边禁区内被干扰                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
12'没有碰到球                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
12'后点巴卡约科跟进推射远角                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
12'打偏了                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'切尔西这边反击又是来到前场                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'巴卡约科禁区外围远射                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'球打在后卫的脚上出了底线                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'切尔西的角球                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'角球送中路                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'德赫亚出击单拳将球击出                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'看看曼联这边有没有反击的机会                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
13'拉什福德拿球被断                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
14'曼联中场拿球稳一下                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
15'边路的转移出现了失误                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
15'切尔西这边中场的转移也是失误                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
15'曼联中场拿球给到边路                   12'切尔西第12分钟同样错过绝佳机会，小法右路传中，但无人防守的巴卡约科11码处推射高出
18'切尔西这边攻上来                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
18'巴卡约科禁区弧顶接球                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
18'稍作调整后直接打门                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
18'也是被后卫挡出                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
18'切尔西这边获得角球                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
18'短角球开出来                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
19'阿扎尔禁区边缘劲射被德赫亚挡出                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
19'这球德赫亚立功了                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
19'法布雷加斯这边跟进补射                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
19'落地的反弹球                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
19'法布雷加斯没有掌控好                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
19'直接顶在边网上                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
21'巴卡约科禁区弧顶上抢撞倒了对方                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
21'巴卡约科得到一张黄牌！                   18'切尔西第18分钟险些破门，阿扎尔右路内切至禁区边缘射门被德赫亚勉强扑出，小法小禁区右侧头球攻门打在边网
56'这球从传球到进球，身边都没有曼联的球员啊                   55'切尔西第55分钟打破僵局，阿斯皮利奎塔右路斜传，无人防守的莫拉塔12码处冲顶入网，德赫亚毫无反应
57'曼联这边替补席已经在热身了                   55'切尔西第55分钟打破僵局，阿斯皮利奎塔右路斜传，无人防守的莫拉塔12码处冲顶入网，德赫亚毫无反应
58'接下来要看看曼联如何调整了                   55'切尔西第55分钟打破僵局，阿斯皮利奎塔右路斜传，无人防守的莫拉塔12码处冲顶入网，德赫亚毫无反应
58'镜头也是给到了费莱尼                   55'切尔西第55分钟打破僵局，阿斯皮利奎塔右路斜传，无人防守的莫拉塔12码处冲顶入网，德赫亚毫无反应
58'曼联这边也是在商量下场上的阵型                   55'切尔西第55分钟打破僵局，阿斯皮利奎塔右路斜传，无人防守的莫拉塔12码处冲顶入网，德赫亚毫无反应
58'刚才的丢球实在是不应该                   55'切尔西第55分钟打破僵局，阿斯皮利奎塔右路斜传，无人防守的莫拉塔12码处冲顶入网，德赫亚毫无反应
75'切尔西这边有机会啊                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
75'巴卡约科断球到了禁区弧顶                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
75'晃开防守后一脚劲射将球打偏                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
76'曼联左路起球送禁区                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
77'三个点都没有抢到                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
77'切尔西这边反击                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
77'阿扎尔拿球给到禁区前沿                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
77'后卫的铲球先破坏出来                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
78'曼联换人了                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
78'阿什利-扬下，林加德上！                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
78'切尔西这边也调整                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
78'法布雷加斯下，德林克沃特被换上                   75'第75分钟，费莱尼后场被抢断，但巴卡约科突破至禁区边缘的射门偏出右侧立柱
87'切尔西这边换人                   87'曼联第87分钟险些扳平，拉什福德禁区弧内左脚凌空抽射，皮球擦左侧立柱偏出
87'阿扎尔被换下了                   87'曼联第87分钟险些扳平，拉什福德禁区弧内左脚凌空抽射，皮球擦左侧立柱偏出
89'比赛马上进入到补时阶段                   87'曼联第87分钟险些扳平，拉什福德禁区弧内左脚凌空抽射，皮球擦左侧立柱偏出
89'费莱尼禁区内有机会                   87'曼联第87分钟险些扳平，拉什福德禁区弧内左脚凌空抽射，皮球擦左侧立柱偏出
