1'上半场比赛开始！！                   1'第1分钟恒大反客为主，对比赛形成主动控制
1'恒大开球，从画面的右侧向左进攻！！                   1'第1分钟恒大反客为主，对比赛形成主动控制
1'李学鹏左路的斜传球打身后                   1'第1分钟恒大反客为主，对比赛形成主动控制
1'力量稍大，到了张鹭的控制范围                   1'第1分钟恒大反客为主，对比赛形成主动控制
2'恒大前场右路进攻，斜传球到禁区                   1'第1分钟恒大反客为主，对比赛形成主动控制
2'阿兰力压王杰抢点，没能碰到                   1'第1分钟恒大反客为主，对比赛形成主动控制
2'球被王杰碰出了底线！！                   1'第1分钟恒大反客为主，对比赛形成主动控制
2'恒大获得左侧角球机会，没能形成威胁！！                   1'第1分钟恒大反客为主，对比赛形成主动控制
3'赵旭日中圈拿球，面对逼抢                   1'第1分钟恒大反客为主，对比赛形成主动控制
3'转身回传到后场右路                   1'第1分钟恒大反客为主，对比赛形成主动控制
4'张诚右路的直塞球，被李学鹏成功拦截                   1'第1分钟恒大反客为主，对比赛形成主动控制
4'恒大后场的过顶长传打身后                   1'第1分钟恒大反客为主，对比赛形成主动控制
4'阿兰前插接应，奋力拿到                   1'第1分钟恒大反客为主，对比赛形成主动控制
51'王永珀前场右路拿球，强突后传中到禁区                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
51'第一点被张琳芃头球解围出来                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
51'恒大的反击，郑智中场拿球                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
51'阿兰面对刘奕鸣的防守，直接一拐将刘奕鸣打翻在地                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
52'阿兰被主裁判直接出示了红牌，罚出场外！！                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
52'这个动作不应该，估计还会被追罚！！                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
53'刘奕鸣受伤倒地，张诚这边也是有些受伤                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
53'张诚一瘸一拐，担架进场，抬出场外                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
53'权健换人：16号郑达伦上，换下了受伤的18号张诚！！                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
54'郜林前场右路拿球，带至角旗附近                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
54'糜昊伦和权景元的逼抢，球出边线                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
54'边裁给了恒大前场右路的界外球！！                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
54'恒大前场右路进攻，赢得角球机会！！！                   51'第51分钟，场上突现意外情况：阿兰与刘奕鸣抢位中发生摩擦，刘奕鸣手上有搂拽阿兰的动作，阿兰挥臂用力击打刘奕鸣，主裁判石祯禄向阿兰直接出示红牌
56'开场来看，恒大有些反客为主啊                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
56'维特塞尔左路背身拿球，被踢翻在地                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
56'王永珀中场拿球，分球右路给张诚                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
56'张诚的强突，斜塞找前插的孙可                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
56'边裁举旗，孙可越位在先！！                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'黄博文后场拿球，面对逼抢                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'回传张琳芃，再给冯潇霆                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'冯潇霆分球左侧给前插的李学鹏                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'李学鹏内切横传找郜林                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'郜林胸部停球，可惜停大了！！                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
58'冯潇霆后场拿球，带至前场                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
58'分球右路找于汉超                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
58'糜昊伦逼抢，抢在于汉超之前，将球解围出边线                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
58'恒大前场右路的界外球！！                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
55'古德利主罚，开出到后点，被权健球员解围                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
55'恒大进球了！！                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
55'郜林！！                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
56'恒大左侧角球，战术球给到李学鹏，李学鹏传中到禁区，维特塞尔头球解围，刚好顶到郜林脚下，迎球怒射，打进！！！                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'郑达伦左路拿球，强突被回防的邓涵文放倒在地                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'权健获得了前场左路的任意球机会                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'王永珀任意球斜传到后点                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
57'恒大球员头球解围出来                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
58'权景元禁区右上角拿球，转身抽射，打飞！                   55'第55分钟，10人作战的恒大取得入球：恒大开出左侧战术角球，维特塞尔禁区内头球解围失误，直接顶给了禁区左侧空档处的郜林，郜林顺势抽射攻破球门近角
65'直塞再给李学鹏                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'内切没机会，回传后场冯潇霆                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'莫德斯特右路拿球，强突被古德利从侧后方踢翻在地                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'上半场20分钟，比分依旧是0-0！！                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
66'张诚右路拿球，送出过顶打身后                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
66'孙可前插接应，脚后跟再想分中路                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
66'踢茨了，转身再抢，被张琳芃解围                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
67'目前的控球率：权健37%，恒大63%                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
67'李学鹏左路拿球，直塞身后找于汉超                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
67'王永珀回防将球解围                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
67'张诚拿球，出脚解围，打在了李学鹏后背上，弹出了底线                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
67'权健的球门球！！                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
68'赵旭日中场拿球，分球左侧糜昊伦                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
68'糜昊伦在邓涵文干扰下，没能停好，出边线                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
68'阿兰右路拿球，强突被撞翻在地                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'郜林前场右路，刘逸的上抢                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'郜林转身摆脱，王永珀再抢                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'勾倒了郜林，犯规！！！                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'恒大获得了大禁区右上角的任意球机会！！                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
65'古德利主罚，搓传到门前                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
66'无人碰到，弹地后，击中远端立柱，弹出                   65'第65分钟，郜林为恒大赢得右路任意球，古德利斜传禁区，高拉特近距离冲顶未能顶到，皮球击中远侧立柱弹出
