28'拜仁慕尼黑拉菲尼亚受伤倒地,比赛暂停                   28'第28分钟，施梅尔策阻挡拉菲尼亚，被出示黄牌
28'多特蒙德球员施梅尔策被主裁判出示了一张黄牌.                   28'第28分钟，施梅尔策阻挡拉菲尼亚，被出示黄牌
29'暂停结束,球员们重新开始比赛.                   28'第28分钟，施梅尔策阻挡拉菲尼亚，被出示黄牌
36'射门!!!拜仁慕尼黑球员穆勒大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是莱万多夫斯基.                   36'拜仁第36分钟取得领先
36'进球啦！！！拜仁慕尼黑球员莱万多夫斯基大禁区中央头球,球从中路飞进球门,球进了! 多特蒙德 0-1 拜仁慕尼黑.                   36'拜仁第36分钟取得领先
37'帕帕斯塔索普洛斯为多特蒙德在右路,赢得一个任意球.                   36'拜仁第36分钟取得领先
37'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   36'拜仁第36分钟取得领先
39'多特蒙德球员京多安大禁区外右脚射门,被防守球员封堵.                   36'拜仁第36分钟取得领先
51'多特蒙德球员京多安大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.                   51'第51分钟，罗伊斯禁区内倒地，但主裁判没有理会
52'帕帕斯塔索普洛斯为多特蒙德赢得一个任意球.                   51'第51分钟，罗伊斯禁区内倒地，但主裁判没有理会
52'拜仁慕尼黑球员施魏因斯泰格拼抢犯规,对手获得控球权.                   51'第51分钟，罗伊斯禁区内倒地，但主裁判没有理会
52'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   51'第51分钟，罗伊斯禁区内倒地，但主裁判没有理会
52'贝尔纳特为拜仁慕尼黑赢得一个任意球.                   51'第51分钟，罗伊斯禁区内倒地，但主裁判没有理会
54'多特蒙德球员罗伊斯大禁区外左脚射门,被防守球员封堵.给他传球的是本德尔.                   51'第51分钟，罗伊斯禁区内倒地，但主裁判没有理会
54'多特蒙德球员京多安大禁区外右脚射门,被防守球员封堵.                   51'第51分钟，罗伊斯禁区内倒地，但主裁判没有理会
61'多特蒙德球员罗伊斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是本德尔.                   61'第61分钟，本德直塞禁区右侧，罗伊斯小角度斜射偏出近门柱
62'多特蒙德球员帕帕斯塔索普洛斯拼抢犯规,对手获得控球权.                   61'第61分钟，本德直塞禁区右侧，罗伊斯小角度斜射偏出近门柱
62'莱万多夫斯基为拜仁慕尼黑在左路,赢得一个任意球.                   61'第61分钟，本德直塞禁区右侧，罗伊斯小角度斜射偏出近门柱
63'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   61'第61分钟，本德直塞禁区右侧，罗伊斯小角度斜射偏出近门柱
63'贝纳蒂亚为拜仁慕尼黑赢得一个任意球.                   61'第61分钟，本德直塞禁区右侧，罗伊斯小角度斜射偏出近门柱
70'射门!!!多特蒙德球员阿德里安-拉莫斯大禁区中央头球,被对方守门员横身扑出.给他传球的是罗伊斯.                   70'第70分钟，罗伊斯传球，拉莫斯头球被诺伊尔得到
73'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   70'第70分钟，罗伊斯传球，拉莫斯头球被诺伊尔得到
73'贝尔纳特为拜仁慕尼黑在左路,赢得一个任意球.                   70'第70分钟，罗伊斯传球，拉莫斯头球被诺伊尔得到
73'罗伊斯将球处理出底线,拜仁慕尼黑获得角球.                   70'第70分钟，罗伊斯传球，拉莫斯头球被诺伊尔得到
88'射门!!!多特蒙德球员罗伊斯大禁区外右脚射门,被对方守门员横身扑出.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
89'苏博蒂奇为多特蒙德赢得一个任意球.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
89'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
90'姆希塔良为多特蒙德赢得一个任意球.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
90'拜仁慕尼黑球员罗德拼抢犯规,对手获得控球权.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
90'黄牌！拜仁慕尼黑球员罗德因为恶意犯规,被主裁判出示黄牌.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
90'+3'多特蒙德球员苏博蒂奇球门左侧小角度尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是帕帕斯塔索普洛斯.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
90'+4'多特蒙德球员帕帕斯塔索普洛斯拼抢犯规,对手获得控球权.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
90'+4'蒂亚戈为拜仁慕尼黑在左路,赢得一个任意球.                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
90'+5'下半场结束,多特蒙德 0-1 拜仁慕尼黑                   88'第88分钟，罗伊斯在门前25米处主罚任意球越过人墙直奔左下角，但诺伊尔舒展身体，在门线上右掌捞出
