4'辽宁这个失球有些突然，不过比赛刚刚开始，这种局面比赛将会很好看                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
4'詹姆斯左侧拿球，到禁区内，在防守队员干扰下倒地了                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
4'裁判没有表示，长春队反击                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
5'长春队左侧斜传，莫雷罗进攻犯规                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
6'辽宁右路斜传禁区，邱卡中路争顶，造成角球机会                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
6'丁海峰角球开入禁区，长春队迅速解围出来                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
7'右路丁海峰护球，被对方推倒                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
7'丁海峰任意球开入禁区，马祖前点头球解围                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
7'辽宁禁区前沿头球摆渡，詹姆斯禁区内插上打门，越位在先了                   4'第4分钟，詹姆斯左侧拿球到禁区内，在防守队员干扰下倒地了，但裁判没有表示
7'右路丁海峰护球，被对方推倒                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
7'丁海峰任意球开入禁区，马祖前点头球解围                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
7'辽宁禁区前沿头球摆渡，詹姆斯禁区内插上打门，越位在先了                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
8'长春队再次从右路打出进攻，这一次传中绵软无力，张鹭把球没收                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
8'邱卡左侧带球突破，被对方放倒                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
9'辽宁进攻，大范围转移给右路，在传中，第一点没有控制到                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
9'秦升后点跟进，一记抽射，打偏了                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
9'失球后的辽宁开始了大举的压上反攻                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
10'蒋哲边路防守不敢懈怠，把球踢出边线                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
10'秦升手榴弹界外球给到禁区内，几次争夺之后最终辽宁赢得角球                   7'第7分钟，辽足获得任意球机会，丁海峰任意球开入禁区，马祖前点头球解围，辽足禁区前沿头球摆渡，詹姆斯禁区内插上打门十分有威胁，但是边裁举旗示意越位在先
17'长春队左侧定位球，罚入禁区中央，第一点被米切尔顶出                   17'第17分钟，长春队左侧定位球罚入禁区中央，第一点被米切尔顶出
18'张野弧顶处保护位置，继续解围                   17'第17分钟，长春队左侧定位球罚入禁区中央，第一点被米切尔顶出
18'辽宁左路的传切，蒋哲紧盯詹姆斯把球铲出底线                   17'第17分钟，长春队左侧定位球罚入禁区中央，第一点被米切尔顶出
19'辽宁队角球开出，禁区内中路一顶，后点詹姆斯背对球门，一记倒钩，没有踢正，偏出底线                   17'第17分钟，长春队左侧定位球罚入禁区中央，第一点被米切尔顶出
20'辽宁中路组织进攻，邱卡突破未成，身后的杨超声头球往前送，也没有成功                   17'第17分钟，长春队左侧定位球罚入禁区中央，第一点被米切尔顶出
20'秦升中场一记长传，准确给到禁区内邱卡的身旁，长春队门将和后卫配合险些失误                   17'第17分钟，长春队左侧定位球罚入禁区中央，第一点被米切尔顶出
22'长春队前场左侧的进攻，张笑非和杜震宇连续的传递，球被断了                   22'第22分钟，杨超声得球快速的反击，张笑非阻挡犯规吃到黄牌
23'杨超声得球快速的反击，张笑非伸手一拉，对方倒地，张笑非吃到黄牌                   22'第22分钟，杨超声得球快速的反击，张笑非阻挡犯规吃到黄牌
23'詹姆斯左侧的带球突破被蒋哲放倒，蒋哲也吃到黄牌                   22'第22分钟，杨超声得球快速的反击，张笑非阻挡犯规吃到黄牌
23'长春队左右两个边卫连续吃牌啊，隐患不小                   22'第22分钟，杨超声得球快速的反击，张笑非阻挡犯规吃到黄牌
24'秦升外围再次尝试远射，偏了                   22'第22分钟，杨超声得球快速的反击，张笑非阻挡犯规吃到黄牌
25'马祖和秦升争顶头球，秦升倒地受伤了，好像是脚扭了一下，踩在了马祖的脚上                   22'第22分钟，杨超声得球快速的反击，张笑非阻挡犯规吃到黄牌
