1'比赛开始了，国安开球                   1'第1分钟国安迅速展开积极前压
1'国安从画面左侧向右侧进攻，辽宁从右向左进攻                   1'第1分钟国安迅速展开积极前压
1'拉尔夫右侧给到姜涛，挑传向前                   1'第1分钟国安迅速展开积极前压
2'禁区前沿争顶，右侧张野把球拿下来                   1'第1分钟国安迅速展开积极前压
2'低传向前被张稀哲碰出边线                   1'第1分钟国安迅速展开积极前压
2'右侧界外球，给出来                   1'第1分钟国安迅速展开积极前压
2'拼抢后于洋把球拦截，左侧分边赵和靖                   1'第1分钟国安迅速展开积极前压
2'提前量给的有点大，直接出了边线                   1'第1分钟国安迅速展开积极前压
3'辽宁推进，中圈横敲被拉尔夫拦截                   1'第1分钟国安迅速展开积极前压
3'右侧分边姜涛，在给拉尔夫，斜传向前                   1'第1分钟国安迅速展开积极前压
3'索里亚诺背身护球，索里亚诺最近状态超强啊                   1'第1分钟国安迅速展开积极前压
3'索里亚诺遭遇围堵，被阿萨尼断下                   1'第1分钟国安迅速展开积极前压
3'阿萨尼长传向前，出了边线                   1'第1分钟国安迅速展开积极前压
4'国安界外球交给朴成，节拍器，拿球控一下                   1'第1分钟国安迅速展开积极前压
4'斜传到禁区右侧，索里亚诺包抄，头球摆渡                   1'第1分钟国安迅速展开积极前压
4'阿萨尼中路飞身解围出底线                   1'第1分钟国安迅速展开积极前压
4'右侧国安战术角球                   1'第1分钟国安迅速展开积极前压
14'王亮右侧大力界外球                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
14'前场胡延强拼抢倒地，裁判没吹                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
14'国安进攻，右侧姜涛拿球，连续的前场短传                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
15'右侧禁区内给到张稀哲，横敲禁区中间，给的非常到位啊                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
15'索里亚诺小禁区前沿，无人盯防，顺势怒射，踢飞了                   14'第14分钟，巴顿、索里亚诺连续传递形成非常流畅的中路攻势，张稀哲禁区右侧很冷静地横敲空档处，无人盯防的奥古斯托推射打飞
