22'鲁能泰山队进球啦！！吉尔！1-0                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
23'角球发到后点！吉尔被漏防！头球砸门！球进！                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
23'上海申花队右路长传球！吉尔卡位不错                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
24'鲁能泰山队右路传球到禁区内！                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
24'佩莱背身接球！倒地！                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
24'这球人家也不犯规                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
25'申花传禁区！戴琳解围没能踢到！                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
25'球打在了朱建荣手上！                   22'第22分钟，山东鲁能率先打破僵局，蒿俊闵角球传中，吉尔头球破门
39'这球是对方碰出底线！角球机会                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
39'鲁能泰山队进球啦！佩莱！3-0                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
40'蒿俊闵发角球到禁区内！佩莱头球顶门，皮球击中横梁，弹下来打到立柱！进入网内！！！                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
40'很鬼一！！邱盛炯也没办法                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
41'感觉上海申花队心不在本场比赛！                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
41'鲁能泰山队左路进攻，横传！                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
41'佩莱人球分过！可惜没能成功                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
41'丛震后场控球！蒿俊闵抢球犯规                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
42'中场鲁能泰山队得球，右路直传                   39'第39分钟，蒿俊闵角球传中，佩莱头球得手
