17'里斯本竞技球员Islam Slimani自摆乌龙,里斯本竞技 0-1 沙尔克04                   17'第17分钟，奥戈右路任意球传中，斯利马尼12码处头球自摆乌龙
18'沙尔克04球员C-富克斯拼抢犯规,对手获得控球权.                   17'第17分钟，奥戈右路任意球传中，斯利马尼12码处头球自摆乌龙
18'Carlos Mané为里斯本竞技在右路,赢得一个任意球.                   17'第17分钟，奥戈右路任意球传中，斯利马尼12码处头球自摆乌龙
18'黄牌！沙尔克04球员C-富克斯因为恶意犯规,被主裁判出示黄牌.                   17'第17分钟，奥戈右路任意球传中，斯利马尼12码处头球自摆乌龙
52'进球啦！！！里斯本竞技球员杰斐逊大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是纳尼. 里斯本竞技 2-1 沙尔克04.                   52'第52分钟，纳尼回传，杰斐逊左路禁区边缘外劲射远角入网
53'沙尔克04球员奥巴西拼抢犯规,对手获得控球权.                   52'第52分钟，纳尼回传，杰斐逊左路禁区边缘外劲射远角入网
53'杰斐逊为里斯本竞技赢得一个任意球.                   52'第52分钟，纳尼回传，杰斐逊左路禁区边缘外劲射远角入网
50'Eric Choupo-Moting为沙尔克04在右路,赢得一个任意球.                   49'沙尔克04在第88分钟扳回一城，博阿滕传球，奥戈突入小禁区左侧边缘抽射入网
50'里斯本竞技球员杰斐逊拼抢犯规,对手获得控球权.                   49'沙尔克04在第88分钟扳回一城，博阿滕传球，奥戈突入小禁区左侧边缘抽射入网
50'赫格尔为沙尔克04在对方半场,赢得一个任意球.                   49'沙尔克04在第88分钟扳回一城，博阿滕传球，奥戈突入小禁区左侧边缘抽射入网
50'里斯本竞技球员Islam Slimani拼抢犯规,对手获得控球权.                   49'沙尔克04在第88分钟扳回一城，博阿滕传球，奥戈突入小禁区左侧边缘抽射入网
51'沙尔克04球员Eric Choupo-Moting拼抢犯规,对手获得控球权.                   49'沙尔克04在第88分钟扳回一城，博阿滕传球，奥戈突入小禁区左侧边缘抽射入网
51'阿德里恩-席尔瓦为里斯本竞技在对方半场,赢得一个任意球.                   49'沙尔克04在第88分钟扳回一城，博阿滕传球，奥戈突入小禁区左侧边缘抽射入网
52'进球啦！！！里斯本竞技球员杰斐逊大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是纳尼. 里斯本竞技 2-1 沙尔克04.                   49'沙尔克04在第88分钟扳回一城，博阿滕传球，奥戈突入小禁区左侧边缘抽射入网
