1'主裁判凯文-弗兰德哨响，比赛开始了，作客的米堡率先开球                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
1'曼城从画面左侧向右侧进攻，米堡是从右侧向左侧进攻                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
1'费尔南迪尼奥后场抢断下来，直接回敲布拉沃                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
1'斯通斯推进，给到费尔南迪尼奥，右侧交给纳瓦斯，小跑车回敲一下                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
2'后场萨巴莱塔转移给中间，科拉罗夫大脚冲吊                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
2'前场右翼给到丁丁，在给费尔南迪尼奥，中路的转移，左侧被断                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
2'不过席尔瓦反抢下来，迅速反击，禁区前沿直塞                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
3'左侧京多安禁区边缘插上，球被巴拉甘挡出底线                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
3'左侧角球，席尔瓦要前点，被挡出                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
3'外围丁丁得球，漂亮的突破，在送直塞                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
3'左侧底线席尔瓦把球拿到，在推向禁区中央，还是被挡出                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
4'萨巴莱塔右侧推给丁丁                   1'曼城第1分钟展开围攻，米堡密集防守中路，曼城两翼的传中均被解围
24'左侧战术角球，给到禁区外围，科拉罗夫一脚大力远射，被巴尔德斯没收                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
24'曼城进攻渐有起色                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
24'一个快速进攻，前场阿圭罗转身突破，巧妙的直塞给到左翼插上的丁丁                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
25'丁丁突入禁区，左肋低射，绕过巴尔德斯，擦着门柱偏出                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
25'好惊悚，，，这是曼城开场到现在最好的机会                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
25'纳瓦斯右翼接球越位                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
26'科拉罗夫横敲费尔南迪尼奥，中场带过来                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
26'左侧在给京多安，交给席尔瓦                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
26'回给中间，费尔南迪尼奥直塞被对方铲了一下                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
27'正好球到了阿圭罗脚下，禁区线上的兜射，被巴尔德斯没收                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
27'米堡左路进攻，传球被斯通斯控制了                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
27'克莱顿上抢逼抢，斯通斯卡住身位把球让出底线                   24'曼城第24分钟险些破门，阿圭罗反击中直传，德布劳内禁区左侧15码处低射，皮球擦远角立柱偏出
31'争顶下来，还是曼城的球权，左侧克里希给到科拉罗夫                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
31'在给斯通斯，带过半场，给纳瓦斯，在回给斯通斯                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
31'中路克里希得球，交给京多安，直塞到禁区左肋                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
31'席尔瓦倒三角给到禁区，阿圭罗闪开防守，一脚爆射，巴尔德斯站位不错把球挡出                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
32'席尔瓦门前再补，，又被巴尔德斯挡出                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
32'不过裁判哨响，席尔瓦处于越位位置                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
32'丁丁右侧突破，斜传禁区，吉布森把球铲出边线                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
32'曼城现在进攻比较简练                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
32'外围三传两递，右侧纳瓦斯搓入后点                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
33'阿圭罗冲顶未能碰到，后点曼城在射一脚，造成角球                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
33'席尔瓦角球给到禁区，斯通斯前点漂亮的一蹭，给到后门柱                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
33'阿圭罗包抄，飞身一铲，，差之毫厘，没有碰到，否则必进                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
34'腿到用时方恨短啊                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
34'席尔瓦左侧加速，禁区前给丁丁，在回给席尔瓦                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
34'遭遇包夹，在给科拉罗夫，一路奔袭到了禁区前                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
34'左路交给丁丁，丁丁传中，前点被巴拉甘封堵                   31'第31分钟，阿圭罗12码处劲射又被巴尔德斯神勇扑出
35'曼城在转到右侧来，纳瓦斯在禁区边缘来回游走                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
35'抓到机会，传向门前，席尔瓦近在咫尺的推射，，巴尔德斯神奇扑出                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
36'曼城左侧下底在传过来，中路阿圭罗扫射被后卫挡出底线                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
36'右翼角球，丁丁送到禁区，进攻球员抢到落点，顶出弹地，没有力量，被巴尔德斯没收                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
36'现场镜头都没有时间给巴尔德斯精彩扑救做回放啊，曼城的进攻实在是不让人喘息                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
37'席尔瓦左侧带球杀到禁区内，和阿圭罗做撞墙，克莱顿把球踢出去                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
37'左侧克里希杀到前场，低传给到阿圭罗，禁区犄角，转身就射                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
38'这球巴尔德斯近角把球抱住，没什么威胁对巴尔德斯来说                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
38'曼城中后场突然的一脚长传                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
38'又是巴尔德斯没有溜号，，及时出击把球打出去                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
38'但是好像大腿被鞋钉蹭到了，伸手示意场外                   35'第35分钟，纳瓦斯禁区右侧传中偏转，席尔瓦小禁区前推射仍被巴尔德斯扑出
43'外围右路纳瓦斯给科拉罗夫，在给萨巴莱塔                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
43'回给纳瓦斯，内切中路，无法前进，选择回敲                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
43'费尔南迪尼奥中路横拨到右侧，丁丁                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
43'丁丁这次送出致命的斜塞                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
43'阿圭罗禁区内包抄轻巧的射门得分了                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
44'丁丁禁区外右侧一个半高球传入禁区，弹地之后到了小禁区内，阿圭罗出现在钱伯斯和吉布森中间，轻盈的把球踩入网窝                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
45'这球四两拨千斤，距离太近，巴尔德斯也没有任何办法                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
45'米堡坚持了40多分钟，还是没能守住上半场                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
45'内格雷多前场右侧拿球，突破被捅出边线                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
45'内格雷多上半场郁闷啊，没什么触球的机会                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
45'.上半场补时2分钟                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'巴拉甘右侧界外球没给好啊，直接是扔出去了                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'曼城后场倒脚，领先不着急了                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'斯通斯带到中圈，在给科拉罗夫，左侧给克里希                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'下半场开始了，曼城开球                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'科拉罗夫给到费尔南迪尼奥，在给i饿斯通斯                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'带球上来，大范围斜传给到纳瓦斯                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'小跑车飙起来，被铲翻在地，没吹犯规                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
46'弗兰德大脚转移直接飞出边线                   43'曼城第43分钟打破僵局，连续13脚前场配合传球，德布劳内右路45度斜传，阿圭罗甩开双中卫盯防近距离弹射破门
50'米堡长传进攻，斯通斯挡了一下，球到了后排跟进的米堡球员脚下                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
50'米堡中路在给特劳雷，假动作一晃，直塞给到右翼                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
51'这球给的不错，内格雷多自知越位，没有追，，福肖右肋插上，单刀面对布拉沃                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
51'福肖大力抽射，被布拉沃扑出，球是反弹到了福肖身上出了底线                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
51'布拉沃也是振臂怒吼，后防不给力                   50'米堡第50分钟险些扳平，特劳雷直传，反越位成功的福肖禁区右肋10码处单刀射门被布拉沃及时出击扑出
