2'博内拉将球处理出底线,凯尔特人获得角球.                   2'开场2分钟，马尔格鲁开出角球，布里赫特后点打偏
2'凯尔特人球员博里格特大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马尔格鲁.                   2'开场2分钟，马尔格鲁开出角球，布里赫特后点打偏
3'AC米兰球员巴洛特利大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是博内拉.                   2'开场2分钟，马尔格鲁开出角球，布里赫特后点打偏
9'凯尔特人球员马尔格鲁大禁区外左脚射门,被防守球员封堵.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
9'凯尔特人球员卡亚尔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马尔格鲁.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
10'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
10'德容为AC米兰赢得一个任意球.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
11'凯尔特人球员卡亚尔拼抢犯规,对手获得控球权.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
11'巴洛特利为AC米兰在对方半场,赢得一个任意球.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
11'AC米兰球员埃马纽尔森大禁区外左脚射门,被防守球员封堵.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
11'鲁斯蒂格将球处理出底线,AC米兰获得角球.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
12'鲁斯蒂格将球处理出底线,AC米兰获得角球.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
12'进球啦！！！AC米兰球员卡卡球门线跟前头球,球从左下角飞进球门,球进了!助攻的是比尔萨. 凯尔特人 0-1 AC米兰.                   9'第9分钟，马尔格鲁禁区边缘射门被挡变线，无人盯防的卡亚尔打呲
25'卡亚尔为凯尔特人在对方半场,赢得一个任意球.                   25'第25分钟，卡卡中路奔袭分到右侧，巴洛特利虚晃闪出角度，在门前9米处小角度抽射高出横梁
25'AC米兰球员德容拼抢犯规,对手获得控球权.                   25'第25分钟，卡卡中路奔袭分到右侧，巴洛特利虚晃闪出角度，在门前9米处小角度抽射高出横梁
25'凯尔特人球员博里格特大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是詹姆斯-福雷斯特.                   25'第25分钟，卡卡中路奔袭分到右侧，巴洛特利虚晃闪出角度，在门前9米处小角度抽射高出横梁
25'AC米兰球员巴洛特利大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是卡卡.                   25'第25分钟，卡卡中路奔袭分到右侧，巴洛特利虚晃闪出角度，在门前9米处小角度抽射高出横梁
26'博内拉为AC米兰赢得一个任意球.                   25'第25分钟，卡卡中路奔袭分到右侧，巴洛特利虚晃闪出角度，在门前9米处小角度抽射高出横梁
26'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   25'第25分钟，卡卡中路奔袭分到右侧，巴洛特利虚晃闪出角度，在门前9米处小角度抽射高出横梁
26'凯尔特人球员康蒙斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   25'第25分钟，卡卡中路奔袭分到右侧，巴洛特利虚晃闪出角度，在门前9米处小角度抽射高出横梁
31'凯尔特人换人,莱德利上,卡亚尔因伤下场.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
31'AC米兰球员比尔萨大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是卡卡.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
32'范-迪吉克为凯尔特人在对方半场,赢得一个任意球.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
32'AC米兰球员卡卡拼抢犯规,对手获得控球权.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
32'凯尔特人球员博里格特大禁区外右脚射门,被防守球员封堵.给他传球的是伊扎古雷.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
32'萨帕塔将球处理出底线,凯尔特人获得角球.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
33'凯尔特人球员詹姆斯-福雷斯特拼抢犯规,对手获得控球权.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
33'埃马纽尔森为AC米兰赢得一个任意球.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
34'凯尔特人球员伊扎古雷拼抢犯规,对手获得控球权.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
34'波利为AC米兰在右路,赢得一个任意球.                   31'第31分钟，卡卡做球，比尔萨禁区边缘左脚打高
37'射门!!!凯尔特人球员马尔格鲁大禁区右侧左脚射门,被对方守门员横身扑出.                   37'第37分钟，康芒斯禁区边缘遭铲断，马尔格鲁右侧得球左脚推射被阿比亚蒂倒地没收
